Raw Tweets,Clean Tweets,Sentiment
Braves or United will bring atlanta a championship before falcons and hawks.,Braves or United will bring atlanta a championship before falcons and hawks,0.0
"Falcons draft success ✔️
Atlanta United dominated ✔️
Braves take another series ✔️

Sports acting nice to me for no… https://t.co/H1ikjGOI9R",Falcons draft success Atlanta United dominated Braves take another series Sports acting nice to me for no,0.3
@djoosbetter @EvinEatsAss Some kid has an Atlanta Falcons Super Bowl LI champs shirt on rn and they don’t even know,Some kid has an Atlanta Falcons Super Bowl LI champs shirt on rn and they don t even know,0.3333333333333333
"Undervalued Ito Smith Could Be the Next Atlanta RB Sleeper https://t.co/b3kQV2mlRO

RotoViz -

The Atlanta Falcons… https://t.co/XGCdtfD4rN",Undervalued Ito Smith Could Be the Next Atlanta RB Sleeper RotoViz The Atlanta Falcons,0.0
"@AtlantaFalcons why do the falcons never seem interested in anyone from FSU? Ya know, the last one worked out prett… https://t.co/9IMJdSG7Pr",why do the falcons never seem interested in anyone from FSU Ya know the last one worked out prett,0.125
@PackersJohn @NFL @CalvinRidley1 @AtlantaFalcons When is the last time you BUMS BEAT THE FALCONS? I’ll wait.. like… https://t.co/UiGQyi1tzo,When is the last time you BUMS BEAT THE FALCONS I ll wait like,0.0
"""we aren't looking to atlanta at all to form this team, also let's have falcons"" - Bob Bradley probably",we aren t looking to atlanta at all to form this team also let s have falcons Bob Bradley probably,0.0
"Damoun!!! @chasing_8 I just became a HUGE Atlanta Falcons fan!
❤🖤🏈🖤❤
Congratulations!",Damoun 8 I just became a HUGE Atlanta Falcons fan Congratulations,0.4000000000000001
Atlanta Falcons Sign NC State Tight End Cole Cook - Yardbarker https://t.co/wStPaPX97l,Atlanta Falcons Sign NC State Tight End Cole Cook Yardbarker,-0.17857142857142858
How will Calvin Ridley help the Atlanta Falcons offense? - Atlanta All Day https://t.co/IVbnxgktWV,How will Calvin Ridley help the Atlanta Falcons offense Atlanta All Day,0.0
[Pack Insider] Atlanta Falcons Sign NC State Tight End Cole Cook https://t.co/AtdNaDL8lb #NCSU #Wolfpack,Pack Insider Atlanta Falcons Sign NC State Tight End Cole Cook NCSU Wolfpack,-0.17857142857142858
Welcome to #Brotherhood @CalvinRidley1 #DirtyBird #ATL #Atlanta #Falcons,Welcome to Brotherhood DirtyBird ATL Atlanta Falcons,0.8
@1970sNFL @AtlantaFalcons Falcons were trash most of the 70s.  The Steelers beat them way the best team in the leag… https://t.co/LfPQ1xNqa4,Falcons were trash most of the 70s The Steelers beat them way the best team in the leag,0.75
"Julio Jones, Mohamed Sanu, and Calvin Ridley will be almost unstoppable for the Falcons. Defensive backs are going… https://t.co/kcnu57VAip",Julio Jones Mohamed Sanu and Calvin Ridley will be almost unstoppable for the Falcons Defensive backs are going,0.0
Check out New PLASTIC New England Patriots vs Atlanta Falcons Super Bowl LI 51 Patch  https://t.co/PFu39wB2vF via @eBay,Check out New PLASTIC New England Patriots vs Atlanta Falcons Super Bowl LI 51 Patch via,0.202020202020202
"Undervalued Ito Smith Could Be the Next Atlanta RB Sleeper https://t.co/IaEbdphcHe

RotoViz -

The Atlanta Falcons… https://t.co/CLikKyQoDQ",Undervalued Ito Smith Could Be the Next Atlanta RB Sleeper RotoViz The Atlanta Falcons,0.0
"Atlanta #Falcons 2018 schedule release: Games, dates and times via @FanSided #NFL
https://t.co/oUp6UjiRUx",Atlanta Falcons 2018 schedule release Games dates and times via NFL,0.0
@MarcusMcFlyy @SixSpence6 @FalconsKingdom @Ryan_Butler12 @Nicc4Three @AtlantaFalcons Vick is not the goat qb of the… https://t.co/M2jI02Hi8Q,Butler12 Vick is not the goat qb of the,0.0
"Falcons had an amazing draft, Braves playing well, Atlanta United playing well. 

We’re winning everything 🏰",Falcons had an amazing draft Braves playing well Atlanta United playing well We re winning everything,0.55
"My kids can love whoever they want, pursue any career they want, play any sport they want, but one thing they will… https://t.co/EtA0sXe6qF",My kids can love whoever they want pursue any career they want play any sport they want but one thing they will,0.5
@NFLTotalAccess @Browns Hahahaahhaahshshs Rashaad penny is an aquarius unpredictable like Le'Veon Bell Lawrence Tay… https://t.co/iup7wID7jZ,Hahahaahhaahshshs Rashaad penny is an aquarius unpredictable like Le Veon Bell Lawrence Tay,-0.16666666666666666
If the falcons having a good year he wouldn’t come to Atlanta and do that either,If the falcons having a good year he wouldn t come to Atlanta and do that either,0.7
Jacob Tuioti-Mariner joins Bosco alum @McFaddenIsland in Atlanta! Go Falcons! #NFLDraft18 https://t.co/PXzS4kIs8a,Jacob Tuioti Mariner joins Bosco alum in Atlanta Go Falcons NFLDraft18,0.0
Undervalued Ito Smith Could Be the Next Atlanta RB Sleeper https://t.co/erqFnIjgGT https://t.co/XQ6KMkyZYp,Undervalued Ito Smith Could Be the Next Atlanta RB Sleeper,0.0
Undervalued Ito Smith Could Be the Next Atlanta RB Sleeper https://t.co/4kr0nyv328 https://t.co/0FZtcDG2gt,Undervalued Ito Smith Could Be the Next Atlanta RB Sleeper,0.0
Atlanta considered moving up in draft for WR Calvin Ridley - The Falcoholic https://t.co/Kv2mCFKnw4,Atlanta considered moving up in draft for WR Calvin Ridley The Falcoholic,0.0
The Atlanta Falcons will win Super Bowl 53. #TweetItIntoExistence https://t.co/dIewS3qC2m,The Atlanta Falcons will win Super Bowl 53 TweetItIntoExistence,0.5666666666666667
@MiamiDolphins Why was Miami not able to have a much bigger list of undrafted prospects coming to camp? Compare our… https://t.co/G3cRH74qQi,Why was Miami not able to have a much bigger list of undrafted prospects coming to camp Compare our,-0.125
The Falcoholic’s 2018 Falcons UDFA Tracker  https://t.co/mEMedkWN3q via @TheFalcoholic,The Falcoholic s 2018 Falcons UDFA Tracker via,0.0
Atlanta Falcons NFL Reebok Team Apparel Tassel Ball Top Winter Sweater Knit Beanie Hat https://t.co/hqvnkEMoat,Atlanta Falcons NFL Reebok Team Apparel Tassel Ball Top Winter Sweater Knit Beanie Hat,0.5
Reebok On Field MICHAEL VICK Red ATLANTA FALCONS Youth Sewn NFL Team JERSEY XL+2 - https://t.co/KvD1jY6umF https://t.co/kW5S0QSatn,Reebok On Field MICHAEL VICK Red ATLANTA FALCONS Youth Sewn NFL Team JERSEY XL 2,0.0
@AtlantaFalcons WELCOME GUYS TO THE FALCONS FAMILY LET'S GET THIS...,WELCOME GUYS TO THE FALCONS FAMILY LET S GET THIS,0.8
@TarHeelFootball @DMOneFive @AtlantaFalcons @NFL @GoHeels @ACCFootball @DMOneFive is a sure-fire NFL player.  The F… https://t.co/C5k5ZZaXcr,is a sure fire NFL player The F,0.5
2018 NFL Draft: Falcons select Foyesade Oluokun in sixth round: Atlanta snags the… https://t.co/abglZ40qI6,2018 NFL Draft Falcons select Foyesade Oluokun in sixth round Atlanta snags the,-0.2
2018 NFL Draft: Falcons select Russell Gage in sixth round: Atlanta snags the wide receiver… https://t.co/Wt4BuTZFNf,2018 NFL Draft Falcons select Russell Gage in sixth round Atlanta snags the wide receiver,-0.15000000000000002
2018 NFL Draft: Falcons select Ito Smith in fourth round: Atlanta snags the running back… https://t.co/dX0C3QvbuD,2018 NFL Draft Falcons select Ito Smith in fourth round Atlanta snags the running back,-0.06666666666666667
atlanta mf falcons..👍🏾🔥,atlanta mf falcons,0.0
"Guys my friend Troy from HS got signed by the Atlanta Falcons last night. And I'm so happy for him, because he was… https://t.co/meOBGajHgn",Guys my friend Troy from HS got signed by the Atlanta Falcons last night And I m so happy for him because he was,0.4
Atlanta Falcons: The 2018 NFL Draft Report Card https://t.co/yQqYov19IB https://t.co/2LYZJ8Na5e,Atlanta Falcons The 2018 NFL Draft Report Card,0.0
Hangin with WR Atlanta Falcons Calvin Ridley in Raritan Center Edison at NFL show......:) https://t.co/Z7p0Giwyot,Hangin with WR Atlanta Falcons Calvin Ridley in Raritan Center Edison at NFL show,-0.1
"Teams who improved the most from 2018 NFL Draft:
1. Arizona Cardinals
2. Denver Broncos
3. Green Bay Packers
4. Los… https://t.co/w8dyIXbNPX",Teams who improved the most from 2018 NFL Draft 1 Arizona Cardinals 2 Denver Broncos 3 Green Bay Packers 4 Los,0.15
Check out Julio Jones - Atlanta Falcons jersey / shirt - Majestic Mens Medium #Majestic https://t.co/bV4qHq6vk3 via @eBay,Check out Julio Jones Atlanta Falcons jersey shirt Majestic Mens Medium Majestic via,0.0
"@Ro_Salgueiro @Mauro_Man @Tuliofla10 Xará, o time do povo lá é o Dallas Cowboys eu acho. É o time que dizem represe… https://t.co/LDixV50ISX",Salgueiro Man Xar o time do povo l o Dallas Cowboys eu acho o time que dizem represe,0.0
"@ObeyTheBoss____ @whoadiebrees True , I can see that. In 98 after the Super Bowl season Atlanta traded future #1 pi… https://t.co/14kgaWI5yV",True I can see that In 98 after the Super Bowl season Atlanta traded future 1 pi,0.22777777777777777
Check out Julio Jones - Atlanta Falcons jersey / shirt - Nike Mens XL #Nike #AtlantaFalcons https://t.co/PSSrPoVag5 via @eBay,Check out Julio Jones Atlanta Falcons jersey shirt Nike Mens XL Nike AtlantaFalcons via,0.0
Special teams value was a major theme of the 2018 Atlanta Falcons draft - The Falcoholic https://t.co/WloqPhtbjs,Special teams value was a major theme of the 2018 Atlanta Falcons draft The Falcoholic,0.20982142857142858
"#atlchat

#Atlanta 

#Falcons

#RiseUp 

#nfl

#NFLDraft 

#jimmizenews 

@jnewsmakers https://t.co/WhLNjoTojD",atlchat Atlanta Falcons RiseUp nfl NFLDraft jimmizenews,0.0
Atlanta Falcons: The 2018 NFL Draft Report Card https://t.co/XHUWg2IQpF https://t.co/dt0zvxMZGn,Atlanta Falcons The 2018 NFL Draft Report Card,0.0
2018 NFL Draft: What are Atlanta Falcons fans saying about their team’s day three draft haul?  https://t.co/pPeAqlmkwR via @TheFalcoholic,2018 NFL Draft What are Atlanta Falcons fans saying about their team s day three draft haul via,0.0
WATCH: Brown linebacker/defensive end Dewey Jarvis signs with the Atlanta Falcons as a priority undrafted free agen… https://t.co/3qpm8tbre6,WATCH Brown linebacker defensive end Dewey Jarvis signs with the Atlanta Falcons as a priority undrafted free agen,0.4
"@jumpthanfxll @TSwiftIsMyIdo1 And for Atlanta, instead of saying Georgia, can we say Falcons?",And for Atlanta instead of saying Georgia can we say Falcons,0.0
"Falcons, WR Jones 'in a great spot,' says GM https://t.co/3gfgwE45RU",Falcons WR Jones in a great spot says GM,0.8
Ion wear my shoes really 🤷🏾‍♂️😂... But November 18th these would look good with a @EzekielElliott jersey for the fa… https://t.co/3fPJAuPj7s,Ion wear my shoes really But November 18th these would look good with a jersey for the fa,0.44999999999999996
#InfinityWar The Avengers gave up the Infinity Stones just like the Atlanta Falcons gave up the game against the Ne… https://t.co/wp9UqBed0J,InfinityWar The Avengers gave up the Infinity Stones just like the Atlanta Falcons gave up the game against the Ne,-0.4
Also kudos to Nothern Nevada's Devin Gray. The Reed HS grad signed with the Atlanta Falcons. That's total of five k… https://t.co/D1MqnNMCeT,Also kudos to Nothern Nevada s Devin Gray The Reed HS grad signed with the Atlanta Falcons That s total of five k,0.0
How will Calvin Ridley help the Atlanta Falcons offense? - Atlanta All Day https://t.co/xQbu2G0LSB,How will Calvin Ridley help the Atlanta Falcons offense Atlanta All Day,0.0
"Fresh odds from @LVSuperBook to win NFC South

New Orleans Saints 7/5
Atlanta Falcons 11/5
Carolina Panthers 11/5
Tampa Bay Buccaneers 12/1",Fresh odds from to win NFC South New Orleans Saints 7 5 Atlanta Falcons 11 5 Carolina Panthers 11 5 Tampa Bay Buccaneers 12 1,0.4121212121212121
"Wow I’m really about to graduate this summer, move to Atlanta like I wanted, and my MAN is signed to the Falcons. I… https://t.co/k7qFCsFbia",Wow I m really about to graduate this summer move to Atlanta like I wanted and my MAN is signed to the Falcons I,0.15000000000000002
1977 Atlanta Falcons beat defense of all time.,1977 Atlanta Falcons beat defense of all time,0.0
@AtlantaFalcons Purerrr.....Awesomeness!! Falcons #1 https://t.co/p29oMwC8us,Purerrr Awesomeness Falcons 1,0.0
@AyyKristian_ @ronpapson How is he gonna wear a Steelers jacket but also Atlanta Falcons hat?🤔,How is he gonna wear a Steelers jacket but also Atlanta Falcons hat,0.0
Congrats to former Hancock football star @M4_Ville who signed an undrafted free-agent contract with the Atlanta Fal… https://t.co/Ydc6K1rSk7,Congrats to former Hancock football star Ville who signed an undrafted free agent contract with the Atlanta Fal,0.2
"Factory Direct Pricing 15%OFF Coupon Code ""Factory15"" Free Shipping Atlanta Falcons NFL Snapback Hats - Price: $38.… https://t.co/fUdeUkLLtD",Factory Direct Pricing 15 OFF Coupon Code Factory15 Free Shipping Atlanta Falcons NFL Snapback Hats Price 38,0.25
"@DMOneFive @AustinProehl11 @AtlantaFalcons @DMOneFive welcome to the brotherhood! Best of luck, I have enjoyed watc… https://t.co/AmBgj6mNb4",welcome to the brotherhood Best of luck I have enjoyed watc,0.7666666666666666
"Falcons fans, here is my perspective from a couple of months back on the new member of the Atlanta Falcons, CB Isai… https://t.co/4Le7PJVxaO",Falcons fans here is my perspective from a couple of months back on the new member of the Atlanta Falcons CB Isai,0.06818181818181818
