Raw Tweets,Clean Tweets,Sentiment
"@CW_528 @JoshAllenQB @buffalobills My point is, your stance doesn't matter. The Bills brass doesn't care what you o… https://t.co/1WCYwI7vkV",528 My point is your stance doesn t matter The Bills brass doesn t care what you o,0.0
@WGRZ @KateWelshofer @altonbrown Not Altons fault people can't handle the damn truth in this city. What do the Buff… https://t.co/8IswFtxTHf,Not Altons fault people can t handle the damn truth in this city What do the Buff,0.0
"@PFF_Bills Look at that, #BillsMafia. The Process wins every time! @buffalobills",Bills Look at that BillsMafia The Process wins every time,0.3
@NFL @news10nbc @buffalobills @JoshAllenQB @maine_savage23 I'm happy these college students got a NFL contract. Buf… https://t.co/n96yIez7wM,savage23 I m happy these college students got a NFL contract Buf,0.8
"*GCBS AUCTION Serious Bidders Only Please*  

This Auction is for a Full Size High Quality Riddell Replica Buffalo… https://t.co/mlzjNSp6ho",GCBS AUCTION Serious Bidders Only Please This Auction is for a Full Size High Quality Riddell Replica Buffalo,0.04416666666666667
@CW_528 @JoshAllenQB @buffalobills What am I supposed to do? just hate on him? He is in fact the future QB of the B… https://t.co/IsRFZlO730,528 What am I supposed to do just hate on him He is in fact the future QB of the B,-0.4
#allinforallen #BillsMafia @buffalobills Go Bills!!! @JoshAllenQB https://t.co/kmyAKn2I1e,allinforallen BillsMafia Go Bills,0.0
Congrats to our guy Brandon Smith for getting a rookie camp invite from the @buffalobills ! Great opportunity for a… https://t.co/lXJWjJhdhk,Congrats to our guy Brandon Smith for getting a rookie camp invite from the Great opportunity for a,0.8
Bills top Mel Kiper Jr.’s 2018 NFL Draft grades https://t.co/MlkeH5Snkl https://t.co/NysW4USxEj,Bills top Mel Kiper Jr s 2018 NFL Draft grades,0.5
@NoContextTrek Buffalo Bills or Buffalo Sabres your choice they're both lost,Buffalo Bills or Buffalo Sabres your choice they re both lost,0.0
Buffalo Bills need a couple quarterback coaches !!,Buffalo Bills need a couple quarterback coaches,0.0
"Buffalo Bills Extra Wood Smoked Beef Sticks are a truly unique, heavy smoked beef stick with ""Olde World"" flavor in… https://t.co/1iIX3GdgxO",Buffalo Bills Extra Wood Smoked Beef Sticks are a truly unique heavy smoked beef stick with Olde World flavor in,0.05833333333333333
"@buffalobills He played for Wyoming... in the Mountain West Conference...yes, that’s where all the Hall of Fame pla… https://t.co/0SDFPg4ffR",He played for Wyoming in the Mountain West Conference yes that s where all the Hall of Fame pla,0.0
"@rickefd @Ed_Farrell1 @BNBlitzNow @ByTimGraham Rick, @TheBuffaloNews isn’t charging per article or charging extra f… https://t.co/gjZpRRqnLG",Farrell1 Rick isn t charging per article or charging extra f,0.0
@pro_bills @MikeTanier Clearly the inbreeding has not ceased in Buffalo,bills Clearly the inbreeding has not ceased in Buffalo,0.10000000000000002
Top buffalo bills articles from last 48 hrs https://t.co/2al5x97bwi,Top buffalo bills articles from last 48 hrs,0.25
