Raw Tweets,Clean Tweets,Sentiment
"R7 - 234: Andre Smith (LB-North Carolina)
R7 - 242: Panthers Kendrick Norton (DT-Miami)",R7 234 Andre Smith LB North Carolina R7 242 Panthers Kendrick Norton DT Miami,0.0
@ARS002 @amberella06 @Panthers I got so nervous when I read this. I thought a photo of me from Dallas surfaced with… https://t.co/ezdUduC6yy,I got so nervous when I read this I thought a photo of me from Dallas surfaced with,0.0
"#NFLDraft| @Panthers 
R1 - P24: D. J. Moore (WR-Maryland) 
R2 - P55: Donte Jackson (CB-LSU) 
R3 - 85: Rashaan Gauld… https://t.co/SePax2b5Ce",NFLDraft R1 P24 D J Moore WR Maryland R2 P55 Donte Jackson CB LSU R3 85 Rashaan Gauld,0.0
Welcome to Carolina! https://t.co/NVooTe6tBM,Welcome to Carolina,0.8
"@TheOrig1nal___ @The_JP_Era @kKostyy @Dave_Bost @Panthers Yes nigga 😂 990s like a uniform for us, i just found out… https://t.co/x2VeJ7hZbL",JP Era Bost Yes nigga 990s like a uniform for us i just found out,0.0
"I'm handling the #SportsExtra duties again tonight! I've got @joeylogano win at @TalladegaSuperS, @Panthers draft r… https://t.co/c0Tkuy0gmO",I m handling the SportsExtra duties again tonight I ve got win at draft r,0.8
Carolina Panthers' 2018 draft: Analysis for every pick https://t.co/vJ5PGu1Wu5,Carolina Panthers 2018 draft Analysis for every pick,0.0
@MichiganStOnBTN @Cfrey_23 @Panthers @granthamUSA,23,0.0
Since '03 @Panthers https://t.co/nECxK5mDhT,Since 03,0.0
@William80708944 @Panthers he’s the definition of versatile,he s the definition of versatile,0.0
@ColeFartley @Panthers I thought you were a Seahawk fan now? https://t.co/SenGDjjsXg,I thought you were a Seahawk fan now,0.0
"@JQuest825 @Panthers @49ers I like their draft too,  it looks they may be a threat to the @RamsNFL and @Seahawks",I like their draft too it looks they may be a threat to the and,0.0
@TheOrig1nal___ @DeuceBoogi3 @DanielVliet1 @Panthers @idjmoore Man I’m just trying to be comfortable while shopping for lawn supplies.,Man I m just trying to be comfortable while shopping for lawn supplies,0.4
@kKostyy @Dave_Bost @Panthers  https://t.co/jEaUNYlbPv,Bost,0.0
"@dacrisp45 @Panthers Doing good man, hope all is well with you. @49ers did their thing at the draft and the season… https://t.co/BTqzTfe9qI",Doing good man hope all is well with you did their thing at the draft and the season,0.7
@TheOrig1nal___ @kKostyy @Dave_Bost @Panthers Right Bmore think nobody else is around them 😂,Bost Right Bmore think nobody else is around them,0.2857142857142857
Watch  @Panthers @charlottevibe's broadcast: thoughts on Panthers 2018 Draft 🏈🏈 #Keeppounding  https://t.co/z3kLnmUonU,Watch s broadcast thoughts on Panthers 2018 Draft Keeppounding,0.0
"What's @JQuest825 how it going, how'd you think the #NFLDraft was? I enjoyed it, I love the @Panthers pick.",What s how it going how d you think the NFLDraft was I enjoyed it I love the pick,0.5
The Panthers' draft was 'average' according to Pro Football Focus #panthersnation https://t.co/wyFFFpk3oA,The Panthers draft was average according to Pro Football Focus panthersnation,-0.15
@mark_n25 @95KeepPounding @KiddStutta17 @Panthers @idjmoore @TorreySmithWR @MatthewClayburn Intitlde???? You mean e… https://t.co/p2qKDwPj57,n25 Intitlde You mean e,-0.3125
My son’s flag team representing @Panthers when they made their best pick of @norton_kendrick Good luck in the leagu… https://t.co/JaT8ShN3uk,My son s flag team representing when they made their best pick of kendrick Good luck in the leagu,0.85
@beaner124 @Panthers @idjmoore @TorreySmithWR @MatthewClayburn They picked up three offensive lineman yesterday.,They picked up three offensive lineman yesterday,0.0
@Shudogg77 @MikeKlis Forget Vegas they didn't have us making to the Super Bowl in 2015. Definitely wasn't for us to… https://t.co/YDk0yjuF83,Forget Vegas they didn t have us making to the Super Bowl in 2015 Definitely wasn t for us to,0.16666666666666666
@TheOrig1nal___ @DeuceBoogi3 @DanielVliet1 @Panthers @idjmoore 😂,,0.0
@mark_n25 @KiddStutta17 @Panthers @idjmoore @TorreySmithWR @MatthewClayburn lol so can you name the myriad of great… https://t.co/NG2WHEYR0m,n25 lol so can you name the myriad of great,0.8
Let's get this party started with the #SundayFunday edition of the @chevrolet @Sports_Night! We're talking… https://t.co/1gmj6LNqoS,Let s get this party started with the SundayFunday edition of the Night We re talking,0.0
@MichiganStOnBTN @Cfrey_23 @Panthers  https://t.co/oGVkFpwude,23,0.0
"My @Panthers ... #3
My @ChicagoBears ... #1

That's what I'm talking about. (And yes, I can have 2 teams. I'm old e… https://t.co/xcwg8qG4Hh",My 3 My 1 That s what I m talking about And yes I can have 2 teams I m old e,0.1
@WVUfootball @Kyle_Bosch65 @Panthers Congrats big guy!  You’ll be great.,Bosch65 Congrats big guy You ll be great,0.4
@sandsgabe @Panthers They picked up Reggie Bonnafon yesterday after the draft. https://t.co/KiCeWEt46L,They picked up Reggie Bonnafon yesterday after the draft,0.0
I added a video to a @YouTube playlist https://t.co/Ir2Tc7ljye The Carolina Panthers Completed Day 3 Of The NFL Draft!! My Final Grade,I added a video to a playlist The Carolina Panthers Completed Day 3 Of The NFL Draft My Final Grade,0.0
@95KeepPounding @DeuceBoogi3 @DanielVliet1 @Panthers @idjmoore whoa whoa whoa running shoes are completely differen… https://t.co/TWUdNrZlP1,whoa whoa whoa running shoes are completely differen,0.1
@___envied @Itz_jordann @Buddha_2x @Nolettes @Panthers @idjmoore dmv* 😂 yall cluckin moe,envied jordann 2x dmv yall cluckin moe,0.0
Panthers: LB Chris Frey could be valuable pickup https://t.co/Op43YfJ8Qk,Panthers LB Chris Frey could be valuable pickup,0.0
@ProdByPluto @The_JP_Era @kKostyy @Dave_Bost @Panthers dmv* 😂 tf niggas thinking baltimore the only niggas that cra… https://t.co/ccbsbgtp0X,JP Era Bost dmv tf niggas thinking baltimore the only niggas that cra,0.0
@TorreySmithWR @Panthers Scam is scam #MVJR,Scam is scam MVJR,0.0
Check out Nike Mens Carolina Panthers Training Shorts Size XL #Nike https://t.co/GKrR3dH8zV via @eBay,Check out Nike Mens Carolina Panthers Training Shorts Size XL Nike via,0.0
@norton_kendrick @Panthers my boy @norton_kendrick is gonna play some sweet music in the backfield https://t.co/RFKKCdyvrX,kendrick my boy kendrick is gonna play some sweet music in the backfield,0.35
@NASCARcritic https://t.co/RidJu5gUME,,0.0
I'm going all in on the #NFLDraft in the #RicksReview tonight. @Panthers fans will want to hear what @89SteveSmith… https://t.co/vQXsZSzAK4,I m going all in on the NFLDraft in the RicksReview tonight fans will want to hear what,0.0
"@Panthers That want last long, scam will tuck tail and suck passie at the 1st sign of adversity. Michael Vick  jr #MVJR",That want last long scam will tuck tail and suck passie at the 1st sign of adversity Michael Vick jr MVJR,-0.025
@buttkicker7 @Panthers @Chiefs #ChiefsKingdom!,ChiefsKingdom,0.0
@Panthers @Buccaneers @Saints @AtlantaFalcons,,0.0
"Carolinas a constant throughout NFL draft; 24 players with NC or SC ties are picked
https://t.co/KlJEdb3pWs",Carolinas a constant throughout NFL draft 24 players with NC or SC ties are picked,0.0
"Panthers 4th-rounder Ian Thomas' upside will surprise, but his backstory will amaze
https://t.co/qaloMyelRm",Panthers 4th rounder Ian Thomas upside will surprise but his backstory will amaze,0.0
@X_da_realshadow @mark_n25 @Panthers @idjmoore @TorreySmithWR @MatthewClayburn 24 hours later: https://t.co/Y8euIXlcpm,da realshadow n25 24 hours later,0.0
"@Panthers @_DJack01 I'm not that much into sports, but I'm going to follow the Panthers this year and cheer them on… https://t.co/Kn7n8FytxB",DJack01 I m not that much into sports but I m going to follow the Panthers this year and cheer them on,0.2
@Panthers I  love the picks I watched the players we drafted on YouTube they all fast and a ball hog love to hit es… https://t.co/6Szm0gDbvP,I love the picks I watched the players we drafted on YouTube they all fast and a ball hog love to hit es,0.39999999999999997
@buttkicker7 @Panthers @Chiefs #PantherNation still sending you love and best wishes for a wonderful career!,PantherNation still sending you love and best wishes for a wonderful career,0.8333333333333334
D.J. Moore selected in the first round by Carolina Panthers https://t.co/RJtEh0rgkb,D J Moore selected in the first round by Carolina Panthers,0.024999999999999994
@AtlantaFalcons  @Jaguars  @Panthers  @titans  @saints @Colts  @RAIDERS  @packers  @DraftDiamonds  @HoustonTexans… https://t.co/VJuO2K8it3,,0.0
@amberella06 @Panthers cc @KeepPounDENN looks like you need a new iron,cc looks like you need a new iron,0.13636363636363635
"@Panthers @norton_kendrick And is he from ""DA U of Miami  Hurricanes "" sho nuff.!!!",kendrick And is he from DA U of Miami Hurricanes sho nuff,0.0
@95KeepPounding @KiddStutta17 @Panthers @idjmoore @TorreySmithWR @MatthewClayburn So basically I am not intitlde to my opinion?!!! LMAO,So basically I am not intitlde to my opinion LMAO,0.6
@Panthers Next he dying some of his hair panthers blue.,Next he dying some of his hair panthers blue,0.0
@buttkicker7 @Panthers @Chiefs Proud you're a Tech man! Representing yourself and the Institute well at all times!,Proud you re a Tech man Representing yourself and the Institute well at all times,0.8
@MichaelFromDC @StoutsCenter @Panthers @idjmoore LMFAOOOO nigga Live in West bumbafuck,LMFAOOOO nigga Live in West bumbafuck,0.13636363636363635
@95KeepPounding @mark_n25 @KiddStutta17 @Panthers @idjmoore @TorreySmithWR @MatthewClayburn Lmfao this dude takes h… https://t.co/z4LmxRTFHy,n25 Lmfao this dude takes h,0.0
Chris Frey (23) @cf_spartan23 is going to the @nfl. The @msu_spartans team captain and Holiday Bowl Defensive MVP s… https://t.co/IxXIOS9i4b,Chris Frey 23 spartan23 is going to the The spartans team captain and Holiday Bowl Defensive MVP s,0.0
"@mark_n25 @KiddStutta17 @Panthers @idjmoore @TorreySmithWR @MatthewClayburn Devin Funchess
Kaelin Clay
Brenton Bers… https://t.co/1jSCaynAMQ",n25 Devin Funchess Kaelin Clay Brenton Bers,0.0
"Wentz lançou para 222 jardas e três touchdowns contra uma das principais defesas da NFL, e os Philadelphia Eagles b… https://t.co/KVhmlkxlOH",Wentz lan ou para 222 jardas e tr s touchdowns contra uma das principais defesas da NFL e os Philadelphia Eagles b,0.0
@mark_n25 @KiddStutta17 @Panthers @idjmoore @TorreySmithWR @MatthewClayburn Jesus Mark do more curls and stop watching football.,n25 Jesus Mark do more curls and stop watching football,0.5
@Carolina4lyfe @Panthers Oh we will if cam gets his MVP season back from 2015 we gonna be hella fine you might as w… https://t.co/TyQE8Yp8Va,Oh we will if cam gets his MVP season back from 2015 we gonna be hella fine you might as w,0.20833333333333334
@ryanellisracing This is why the @Panthers never win the Ship. I have the same affliction.,This is why the never win the Ship I have the same affliction,-0.2
"Carolina #Panthers 2018 schedule release: Games, dates and times via @FanSided #NFL
https://t.co/eNMXBsDC7L",Carolina Panthers 2018 schedule release Games dates and times via NFL,0.0
@Nick__410 @DeuceBoogi3 @DanielVliet1 @Panthers @idjmoore Damn y’all take this NB and jeans shit seriously Lmfaoooo nobody cares dude,410 Damn y all take this NB and jeans shit seriously Lmfaoooo nobody cares dude,-0.26666666666666666
@MichiganStOnBTN @uacoachcutler @Cfrey_23 @Panthers Rock on @Cfrey_23 !  #WeAreUA,23 Rock on 23 WeAreUA,0.0
@buttkicker7 @tstk2008 @Panthers @Chiefs U SIR R THE definition of Class!! #chiefsforlife,U SIR R THE definition of Class chiefsforlife,0.0
"@NFL @Panthers @_DJack01 @LSUfootball Dang Bro. Washington, I wanted Redskins to take him, lol. Y'all getting a good football player!",DJack01 Dang Bro Washington I wanted Redskins to take him lol Y all getting a good football player,0.75
@Panthers #KeepPounding https://t.co/ymppt8u6Rb,KeepPounding,0.0
@GrishyT @KodyTatlock @Redskins @Panthers Too far Trevor,Too far Trevor,0.1
@PennStateFball @BigBabyMahon @NFL @Panthers Welcome to Carolina!,Welcome to Carolina,0.8
@Panthers @idjmoore It’s a BALTIMORE thing ❗️not DMV 😂,It s a BALTIMORE thing not DMV,0.0
@PennStateFball @RHSRamsSports @BigBabyMahon @NFL @Panthers Congratulations! 🏉,Congratulations,0.0
https://t.co/rJxvIvgB5E,,0.0
#NFLbrotherhood with 61 years of #NFL experience...and counting. Good times! @Panthers… https://t.co/1mw0TNQ5bc,NFLbrotherhood with 61 years of NFL experience and counting Good times,0.7
@scoobydooclt @Panthers Hahahhahaha,Hahahhahaha,0.0
@amberella06 @Panthers And my sister thought I had everything Panthers.... 🙄,And my sister thought I had everything Panthers,0.0
@NFL @Titans @Colts @Vikings @Patriots @Bengals @49ers @Ravens @Eagles @Saints @packers @Chargers @RAIDERS… https://t.co/FhwHOQEG8Y,,0.0
"@bernduck @bijancbayne NE Patriots, Golden State Warriors, Carolina Hurricanes and Panthers, Tampa Bay Buccaneers,… https://t.co/4KfEQjgzHA",NE Patriots Golden State Warriors Carolina Hurricanes and Panthers Tampa Bay Buccaneers,0.3
"The Carolina Panthers with the Twenty Fourth pick in the 2018 NFL Draft Select, DJ Moore.",The Carolina Panthers with the Twenty Fourth pick in the 2018 NFL Draft Select DJ Moore,0.0
@Panthers Norv Turner put the pieces together. Lets Panthers and get this SUPERBOWL. They are sleeping on us. #KeepPounding,Norv Turner put the pieces together Lets Panthers and get this SUPERBOWL They are sleeping on us KeepPounding,0.0
@AtlantaFalcons @Panthers @Buccaneers https://t.co/1ORm6nnjFk,,0.0
@The_JP_Era @kKostyy @Dave_Bost @Panthers Baltimore*,JP Era Bost Baltimore,0.0
Ironman struggle against weak niggas but be on his A game when shit authentic...he the carolina panthers,Ironman struggle against weak niggas but be on his A game when shit authentic he the carolina panthers,-0.11875000000000002
@Panthers @RiverboatRonHC I just listened to @_DJack01 intro to Carolina as a DB for this team.  I can away in awe… https://t.co/uolwyfAKDg,I just listened to DJack01 intro to Carolina as a DB for this team I can away in awe,0.0
@JustinBarneyTU Kendrick norton Carolina panthers,Kendrick norton Carolina panthers,0.0
"With the 2018 #NFLDraft concluded, it’s clear that the #Panthers were focused on adding talent to the defense… https://t.co/haIvgkAeG3",With the 2018 NFLDraft concluded it s clear that the Panthers were focused on adding talent to the defense,0.10000000000000002
Carolina Panthers Charles Johnson Jersey - Large - https://t.co/XJghw0AezJ https://t.co/Tu2gluG0MS,Carolina Panthers Charles Johnson Jersey Large,0.21428571428571427
Carolina Panthers REEBOK DeAngelo Williams #34 NFL OnField Men's Youth XL 18-20 - https://t.co/OCCdVjIBvY https://t.co/E00PZ0vOzp,Carolina Panthers REEBOK DeAngelo Williams 34 NFL OnField Men s Youth XL 18 20,0.0
@StoutsCenter @Panthers @idjmoore Hahaha not the reaction you thought you was gonna get 🤣🤣😤😤 get hip to new balance… https://t.co/4WAaSnUxGw,Hahaha not the reaction you thought you was gonna get get hip to new balance,0.16818181818181818
@KJNAlaskan The Carolina Panthers of the NHL https://t.co/bubJ3EYFlM,The Carolina Panthers of the NHL,0.0
"Factory Direct Pricing 15%OFF Coupon Code ""Factory15"" Free Shipping Carolina Panthers 2017 NFL Beanies - Price: $34… https://t.co/NawMZAhnq6",Factory Direct Pricing 15 OFF Coupon Code Factory15 Free Shipping Carolina Panthers 2017 NFL Beanies Price 34,0.25
@Hoosier_Huddle @Panthers @Cowboys @rams @ChicagoBears I would LOVE that!,Huddle I would LOVE that,0.5
When he’s a @panthers &amp; I’m a saints. Oh the hurdles. But oh the… https://t.co/mILbohsmYj,When he s a amp I m a saints Oh the hurdles But oh the,0.0
"@Panthers There hoes that cowboy killer !!!!
Game 1.  Car vs Dal",There hoes that cowboy killer Game 1 Car vs Dal,-0.4
@Panthers This is our year! And many more to come! #KeepPounding,This is our year And many more to come KeepPounding,0.5
"Chris Frey is living out his NFL dream, signing with the Carolina Panthers. #GoGreen https://t.co/ODtnRDSYZ3",Chris Frey is living out his NFL dream signing with the Carolina Panthers GoGreen,0.0
Skinit Carolina Panthers Inspiron 15 &amp; 1545 Skin - Carolina Panthers | NFL Skin - https://t.co/xcWF8F7SYU https://t.co/Ruf6wfO1XA,Skinit Carolina Panthers Inspiron 15 amp 1545 Skin Carolina Panthers NFL Skin,0.0
Hello. https://t.co/VU4303MNeY,Hello,0.0
"Just finished playing an NFL draft party for the Carolina Panthers!  Big thanks to Marty Hurney, Ron Rivera and the… https://t.co/KzJKmX7hdE",Just finished playing an NFL draft party for the Carolina Panthers Big thanks to Marty Hurney Ron Rivera and the,0.1
@Panthers please sign @TreBos10 #panthersnation #KeepPounding,please sign panthersnation KeepPounding,0.0
@panthers 👀 https://t.co/CpJJ3XhD97,,0.0
@buttkicker7 @tstk2008 @Panthers @Chiefs So glad you are part of #ChiefsKingdom! And again thanks for being an awes… https://t.co/CTHQhh2zjb,So glad you are part of ChiefsKingdom And again thanks for being an awes,0.35
@Panthers VFL 🍊,VFL,0.0
