Raw Tweets,Clean Tweets,Sentiment
@Lions @B_Rodden9 @packers Does anyone still watch the NFL anymore?,Rodden9 Does anyone still watch the NFL anymore,0.0
For the night crowd: My Sunday feature on Lions’ first-round pick Frank Ragnow https://t.co/84D3XAondW via @freep,For the night crowd My Sunday feature on Lions first round pick Frank Ragnow via,0.024999999999999994
@kevcol12 @LLamorandier @Lions Is that a question or a misspelling of assmunch? Dicks like you love to preen themse… https://t.co/d4McKzHOXo,Is that a question or a misspelling of assmunch Dicks like you love to preen themse,0.5
"@Lions @packers It's laughable to think Detroit can consistently stop an offense with Aaron Rodgers, Davante Adams,… https://t.co/6jJI9ifXNc",It s laughable to think Detroit can consistently stop an offense with Aaron Rodgers Davante Adams,-0.125
@Lions Most complete draft class I ever witness from this organization! I am thrilled for the Matt Patricia Bob Quinn era,Most complete draft class I ever witness from this organization I am thrilled for the Matt Patricia Bob Quinn era,0.39999999999999997
@DtownSportsChat @Lions @PrideOfDetroit @DetroitPodcast @FOXSportsDet Jus make sure y'all stay off the wagon when t… https://t.co/KUeYNCsuMk,Jus make sure y all stay off the wagon when t,0.5
@IntrnetHorseMan @_Drewskii__ @1300KWL @EBrooksUncut @MatthewSekulich @McTweett @Lions @packers @Jaguars @ChicagoBears @Vikings Uh huh,Drewskii Uh huh,0.0
"Screw the national experts, here are our own #Lions draft grades, courtesy of @alex_reno: https://t.co/3eofo2Oalc",Screw the national experts here are our own Lions draft grades courtesy of reno,0.6
@AntoneSage @LLamorandier @Lions Wow. Ass much. I was talking in general about all the posters stating we need pass… https://t.co/ZDTYsFrVQo,Wow Ass much I was talking in general about all the posters stating we need pass,0.1166666666666667
@DetroitOnLion @Lions I mean im good luck so just send stuff my way haha,I mean im good luck so just send stuff my way haha,0.1958333333333333
@flaw2705 @Lions Will do.,Will do,0.0
"NFL Detroit Lions Golf Travel Cover FREE SHIPPING!

Category: Detroit Lions
https://t.co/fYmLvMOcNK https://t.co/LOuJpkM8kF",NFL Detroit Lions Golf Travel Cover FREE SHIPPING Category Detroit Lions,0.4
