Raw Tweets,Clean Tweets,Sentiment
"On https://t.co/2vlWOAh5co: BREAKING: Green Bay Packers select Equanimeous St. Brown, WR, Notre Dame at 207 https://t.co/1fp8KChEzE",On BREAKING Green Bay Packers select Equanimeous St Brown WR Notre Dame at 207,-0.2
@mikefreemanNFL Anytime someone builds their identity around the Green Bay Packers there's a 90% chance that person is an extreme Chad,Anytime someone builds their identity around the Green Bay Packers there s a 90 chance that person is an extreme Chad,-0.1625
"Teams who improved the most from 2018 NFL Draft:
1. Arizona Cardinals
2. Denver Broncos
3. Green Bay Packers
4. Los… https://t.co/w8dyIXbNPX",Teams who improved the most from 2018 NFL Draft 1 Arizona Cardinals 2 Denver Broncos 3 Green Bay Packers 4 Los,0.15
Matthes should sell ownership shares like the Green Bay Packers to raise money for a @pulpmx team of @alexray_91 and @filthyphil_37,Matthes should sell ownership shares like the Green Bay Packers to raise money for a team of 91 and 37,-0.2
@AaronRodgers12 Please tell the majority owners to get a top-notch President of Basketball Operations and/or GM. Th… https://t.co/a25rt6JvI9,Please tell the majority owners to get a top notch President of Basketball Operations and or GM Th,0.5
#news NFL Preview 2017: Green Bay Packers https://t.co/dpljWYSgV7 https://t.co/7EeF7bR6kL,news NFL Preview 2017 Green Bay Packers,-0.2
1960 Topps Bart Starr #51 Bgs 7.5 NM Green Bay Packers Legend HOF Rcr: $29.58 (10 Bids) End Date: Sunday Apr-29-201… https://t.co/zBy5hpa5UG,1960 Topps Bart Starr 51 Bgs 7 5 NM Green Bay Packers Legend HOF Rcr 29 58 10 Bids End Date Sunday Apr 29 201,-0.2
@TheAbbyWright I really like this tweet! Welcome to the Packer family @timboyle_7. As an owner of the @packers and… https://t.co/4lQ925kxTs,I really like this tweet Welcome to the Packer family 7 As an owner of the and,0.5
1960 Topps Bart Starr #51 Bgs 7.5 NM Green Bay Packers Legend HOF Rcr: $29.58 (10 Bids) End Date: Sunday Apr-29-201… https://t.co/1AFq4gxlpJ,1960 Topps Bart Starr 51 Bgs 7 5 NM Green Bay Packers Legend HOF Rcr 29 58 10 Bids End Date Sunday Apr 29 201,-0.2
Former WSU OL Cole Madison (61) was drafted in the 5th round of the NFL draft by the Green Bay Packers. In this pho… https://t.co/Kajl8VfPiT,Former WSU OL Cole Madison 61 was drafted in the 5th round of the NFL draft by the Green Bay Packers In this pho,-0.13333333333333333
"Who is the top player in the 2019 NFL Draft class?
https://t.co/pUHRQPuwBQ",Who is the top player in the 2019 NFL Draft class,0.5
"@AnnieDevineTX @DezBryant @AqibTalib21 @AplusD1_ Dez! Green Bay fan here, I would love to see you bleed the green a… https://t.co/jHYp1LCswR",Dez Green Bay fan here I would love to see you bleed the green a,0.033333333333333326
Green Bay Packers Charm For Euro Charm Bracelet Jewelry NFL Football US Seller https://t.co/8A8SuOCWAo,Green Bay Packers Charm For Euro Charm Bracelet Jewelry NFL Football US Seller,-0.2
Niggas only know states by sports lmao  “where you from” “Wisconsin “ “ where?” “ who play for them” “packers” “aww… https://t.co/AXZt5l50Tp,Niggas only know states by sports lmao where you from Wisconsin where who play for them packers aww,0.3
"Green Bay Packers: A+
The Packers took a look at their roster and added whats plagued them for years. Finally their… https://t.co/1jwK1SuGfZ",Green Bay Packers A The Packers took a look at their roster and added whats plagued them for years Finally their,-0.1
Jaire Alexander is one of two cornerbacks headed to join the Green Bay Packers https://t.co/RMXZng18Ig,Jaire Alexander is one of two cornerbacks headed to join the Green Bay Packers,-0.2
1992 Stadium Club GREEN BAY PACKERS TEAM SET w/HI Brett Favre PSA 8 NM-MT https://t.co/Jjn7K3wfO4 https://t.co/RGLijOUKEb,1992 Stadium Club GREEN BAY PACKERS TEAM SET w HI Brett Favre PSA 8 NM MT,-0.2
1993 Stadium Club GREEN BAY PACKERS Team Set w/GAI BRETT FAVRE AUTO https://t.co/WJdFLPohvc https://t.co/dXhVP2HZtk,1993 Stadium Club GREEN BAY PACKERS Team Set w GAI BRETT FAVRE AUTO,-0.2
@IowaOnBTN What's your take on Former Iowa Hawkeys Josh Jackson being drafted to the GREEN BAY PACKERS 100TH Centennial Season?,What s your take on Former Iowa Hawkeys Josh Jackson being drafted to the GREEN BAY PACKERS 100TH Centennial Season,-0.1
1992 Stadium Club GREEN BAY PACKERS TEAM SET w/HI Brett Favre PSA 8 NM-MT https://t.co/yP4k5PW03i https://t.co/LXbebDLo5O,1992 Stadium Club GREEN BAY PACKERS TEAM SET w HI Brett Favre PSA 8 NM MT,-0.2
"Green Bay Packers Fan T-Shirt, Buy a Vowel by Rival Gear (L) - https://t.co/qiZZyfXQBA https://t.co/1azeofU1s1",Green Bay Packers Fan T Shirt Buy a Vowel by Rival Gear L,-0.2
1992 Stadium Club GREEN BAY PACKERS TEAM SET w/HI Brett Favre PSA 8 NM-MT https://t.co/7lv0cKTxyq https://t.co/bqh7E8XNUB,1992 Stadium Club GREEN BAY PACKERS TEAM SET w HI Brett Favre PSA 8 NM MT,-0.2
Congrats to @ddblaze71 and the Green Bay Packers the Tar Heels are proud of you!,Congrats to and the Green Bay Packers the Tar Heels are proud of you,0.30000000000000004
1992 Stadium Club GREEN BAY PACKERS TEAM SET w/HI Brett Favre PSA 8 NM-MT https://t.co/5aaz1d8lP6 https://t.co/e2O60JARYX,1992 Stadium Club GREEN BAY PACKERS TEAM SET w HI Brett Favre PSA 8 NM MT,-0.2
1997 Topps Finest GREEN BAY PACKERS ALL VARIATION TEAM SET BRETT FAVRE + EXTRAS https://t.co/Q9VJ5Sk8dw https://t.co/A1FVuSEUJU,1997 Topps Finest GREEN BAY PACKERS ALL VARIATION TEAM SET BRETT FAVRE EXTRAS,-0.2
"Draft vorbei, Green Bay generell mit ein paar fragwürdigen Picks. Die Story für deutsche Medien bleibt natürlich: E… https://t.co/54wF8yF0VX",Draft vorbei Green Bay generell mit ein paar fragw rdigen Picks Die Story f r deutsche Medien bleibt nat rlich E,-0.2
Packers ‘Expect’ Bulaga Back for Season https://t.co/E2KFs0hu1n https://t.co/Km6z5b3VdI,Packers Expect Bulaga Back for Season,0.0
2018 Green Bay Packers undrafted free agents #GreenBayPackers  https://t.co/OfDJx9IPFe https://t.co/1zymW91gG0,2018 Green Bay Packers undrafted free agents GreenBayPackers,0.1
"Three former @EIUPantherFB players earn NFL Rookie Mini-Camp Invites... Bradley Dewberry (Washington Redskins), A.J… https://t.co/unuaukEWKL",Three former players earn NFL Rookie Mini Camp Invites Bradley Dewberry Washington Redskins A J,0.0
"Fresh odds from @LVSuperBook to win NFC North 

Minnesota Vikings EVEN
Green Bay Packers 8/5
Detroit Lions 5/1
Chicago bears 14/1",Fresh odds from to win NFC North Minnesota Vikings EVEN Green Bay Packers 8 5 Detroit Lions 5 1 Chicago bears 14 1,0.30000000000000004
Packers_Newz. Smartest NFL draft pick for each team - Yardbarker https://t.co/iXuPIr4kRY,Packers Newz Smartest NFL draft pick for each team Yardbarker,0.0
"#NFLWave Recap:

6️⃣ Parry Nickerson &gt; NY Jets
6️⃣ Ade Aruna &gt; Minnesota Vikings

🔶 Free Agent: Dontrell Hilliard t… https://t.co/WPmeTDLIJU",NFLWave Recap 6 Parry Nickerson gt NY Jets 6 Ade Aruna gt Minnesota Vikings Free Agent Dontrell Hilliard t,0.4
"Vegas favors Pats to lead NFL in wins again (12.5)
https://t.co/MXMGh1HMqo

The Philadelphia Eagles and Pittsburgh… https://t.co/1uoDXkooSV",Vegas favors Pats to lead NFL in wins again 12 5 The Philadelphia Eagles and Pittsburgh,0.3
"With the paint not even dry on the 2018 NFL Draft class, let's peek ahead to next year.
https://t.co/pUHRQPuwBQ",With the paint not even dry on the 2018 NFL Draft class let s peek ahead to next year,-0.033333333333333326
Green Bay Packers | Off Season | End of Draft Recap https://t.co/8MVSHQ7gd9,Green Bay Packers Off Season End of Draft Recap,-0.2
"NFL GREEN BAY PACKERS HANDMADE FOOTBALL CHARM BRACELET 7 1/2"" w/ 1 1/2"" Extend. https://t.co/Lu0YLfynzw",NFL GREEN BAY PACKERS HANDMADE FOOTBALL CHARM BRACELET 7 1 2 w 1 1 2 Extend,-0.2
Packers select DL James Looney in 7th round of draft https://t.co/MuVGH3owe5 https://t.co/07NIrxFXaF,Packers select DL James Looney in 7th round of draft,-0.2
So proud of this new Green Bay Packers Linebacker and Vanderbilt University graduate. @BangTimeBurks https://t.co/F7rgZWaTON,So proud of this new Green Bay Packers Linebacker and Vanderbilt University graduate,0.24545454545454545
"After prioritizing defense early, Packers give QB Rodgers weapons in late rounds of draft https://t.co/tc9s4dITPJ https://t.co/RDU1sCMcNF",After prioritizing defense early Packers give QB Rodgers weapons in late rounds of draft,-0.09999999999999999
"Join 13 people right now at ""Packers 2018 Draft Remix"" #cheers #videos #video #green-bay #wisconsin #places… https://t.co/EqqyipeOM8",Join 13 people right now at Packers 2018 Draft Remix cheers videos video green bay wisconsin places,0.042857142857142844
"Missouri wide receiver J'Mon Moore was selected by the Green Bay Packers in the fourth round of the NFL Draft. ""It'… https://t.co/yaW4aBOPEn",Missouri wide receiver J Mon Moore was selected by the Green Bay Packers in the fourth round of the NFL Draft It,-0.125
"After prioritizing defense early, Packers give QB Rodgers weapons in late rounds of draft https://t.co/rNeA8tqWxA https://t.co/G0568cEkKt",After prioritizing defense early Packers give QB Rodgers weapons in late rounds of draft,-0.09999999999999999
I really enjoyed my conversation with Paul and Dave-Te breaking down the Packers’ draft. This is really worth a lis… https://t.co/VUNg7K4ez6,I really enjoyed my conversation with Paul and Dave Te breaking down the Packers draft This is really worth a lis,0.2148148148148148
Melhor que o filme dos Vingadores...só o draft do Green Bay Packers,Melhor que o filme dos Vingadores s o draft do Green Bay Packers,-0.2
"After prioritizing defense early, Packers give QB Rodgers weapons in late rounds of draft https://t.co/SyGITYfVdO https://t.co/TOFytya0mn",After prioritizing defense early Packers give QB Rodgers weapons in late rounds of draft,-0.09999999999999999
Josh Jackson selected by Green Bay Packers in NFL Draft https://t.co/V5jHX3hBd2 #sports,Josh Jackson selected by Green Bay Packers in NFL Draft sports,-0.2
"Equanimeous St Brown Talks Draft, Joining The Green Bay @Packers. St. Brown is excited to join the Packers and is r… https://t.co/LmJegw0085",Equanimeous St Brown Talks Draft Joining The Green Bay St Brown is excited to join the Packers and is r,0.0875
Packers select WR Equanimeous St. Brown in 6th round of draft https://t.co/xYdnRxyPCb https://t.co/xKspFerf88,Packers select WR Equanimeous St Brown in 6th round of draft,-0.2
Take a closer look at the Green Bay Packers' picks in the 2018 NFL draft &gt;&gt; https://t.co/OMHGjNXbk7 https://t.co/3EgHoLVT0u,Take a closer look at the Green Bay Packers picks in the 2018 NFL draft gt gt,-0.2
2 tickets sec 239 New England Patriots vs Green Bay Packers 11/4/18 at 8:20pm https://t.co/kKvIXuWnO8 https://t.co/PenCQ5yxt6,2 tickets sec 239 New England Patriots vs Green Bay Packers 11 4 18 at 8 20pm,-0.05454545454545456
"Equanimeous St. Brown Talks Draft, Joining The Green Bay Packers: Equanimeous St. Brown was… https://t.co/zqXMff7VZ1",Equanimeous St Brown Talks Draft Joining The Green Bay Packers Equanimeous St Brown was,-0.2
@davisturner12 @packers I see the new guys as depth for the future and if one of those guys end up as a top 3 WR in… https://t.co/YFeCbcHr5t,I see the new guys as depth for the future and if one of those guys end up as a top 3 WR in,0.21212121212121213
"Which new #Packers wide receiver will make the biggest impact in 2018?
https://t.co/2QYCkYiRXC",Which new Packers wide receiver will make the biggest impact in 2018,0.018181818181818174
@AaronRodgers12 @jeremykeckhaver The future is bright in Green Bay. Go Packers,The future is bright in Green Bay Go Packers,0.16666666666666666
@petemartens @IanKenyonNFL @Equanimeous i mean he is an american with german roots (german mother). i don't know no… https://t.co/erPldxl00n,i mean he is an american with german roots german mother i don t know no,-0.078125
"Equanimeous St. Brown Talks Draft, Joining The Green Bay Packers https://t.co/4Viz0WVtbr https://t.co/zWKubqGBam",Equanimeous St Brown Talks Draft Joining The Green Bay Packers,-0.2
"Equanimeous St. Brown Talks Draft, Joining The Green Bay Packers https://t.co/WwQtJydA6Z #Packers #NFLDraft #NFL via @TheInquisitr",Equanimeous St Brown Talks Draft Joining The Green Bay Packers Packers NFLDraft NFL via,-0.2
"Packers take Kendall Donnerson, Hunter Bradley to conclude draft https://t.co/mitKSjPidI https://t.co/vWphZBQeqg",Packers take Kendall Donnerson Hunter Bradley to conclude draft,0.0
Packers_Newz. NFC notes: Details of Nick Foles' new contract; Bulaga - Yardbarker https://t.co/exwEaYlaWB,Packers Newz NFC notes Details of Nick Foles new contract Bulaga Yardbarker,0.13636363636363635
"Sasha's personal interests cooking, photography, traveling. She's a fan of the Green Bay Packers, according to her personal Instagram page.",Sasha s personal interests cooking photography traveling She s a fan of the Green Bay Packers according to her personal Instagram page,-0.06666666666666667
Aaron Rodgers likes Packers drafting Jaire Alexander - 247Sports https://t.co/Z06wAUFdBw,Aaron Rodgers likes Packers drafting Jaire Alexander 247Sports,0.0
@SpeakerRyan But it's mostly known for electing dipshits like you and Governor Scott Walker.   And for the flaming… https://t.co/lYpvqKu9w9,But it s mostly known for electing dipshits like you and Governor Scott Walker And for the flaming,0.5
"On https://t.co/2vlWOAh5co: BREAKING: Green Bay Packers select Marquez Valdes-Scantling, WR, South Florida at 174 https://t.co/e4IRXoXhVC",On BREAKING Green Bay Packers select Marquez Valdes Scantling WR South Florida at 174,-0.2
"E a longa espera se foi, Aaron Charles Rodgers foi selecionado pelo Green Bay Packers na escolha No. 24. https://t.co/fl7aYyPI0B",E a longa espera se foi Aaron Charles Rodgers foi selecionado pelo Green Bay Packers na escolha No 24,-0.2
@alanaambrosio Green Bay Packers,Green Bay Packers,-0.2
"Come back daily for the chance to win prizes for 100 straight days, with the Green Bay Packers 100 Days of Giveaway… https://t.co/DhuuYRfW6C",Come back daily for the chance to win prizes for 100 straight days with the Green Bay Packers 100 Days of Giveaway,0.16
Boise State linebacker Leighton Vander Esch got an interesting call from the green room during the first round of t… https://t.co/Epl6spG78f,Boise State linebacker Leighton Vander Esch got an interesting call from the green room during the first round of t,0.08750000000000001
Grading the Packers 2018 draft picks https://t.co/Kz92qSNUZm https://t.co/oz2MxBj7ME,Grading the Packers 2018 draft picks,0.0
Update on Damon Gibson: https://t.co/bhKbzfneZe,Update on Damon Gibson,0.0
"With the 133rd pick the Packers selected Moore in the fourth round of the NFL Draft. Before the draft, Moore took a… https://t.co/9MmPTji5vB",With the 133rd pick the Packers selected Moore in the fourth round of the NFL Draft Before the draft Moore took a,-0.1
"Come back daily for the chance to win prizes for 100 straight days, with the Green Bay Packers 100 Days of Giveaway… https://t.co/skHZxPMvfD",Come back daily for the chance to win prizes for 100 straight days with the Green Bay Packers 100 Days of Giveaway,0.16
#news [NFL] Week 7: welcome back Aaron (Chicago Bears vs Green Bay Packers 10-26) https://t.co/yuVgjSS6rg https://t.co/896yZwFjac,news NFL Week 7 welcome back Aaron Chicago Bears vs Green Bay Packers 10 26,0.20000000000000004
"Come back daily for the chance to win prizes for 100 straight days, with the Green Bay Packers 100 Days of Giveaway… https://t.co/VczDV0IFL2",Come back daily for the chance to win prizes for 100 straight days with the Green Bay Packers 100 Days of Giveaway,0.16
One of the most underrated linebackers in the #NFLDraft has finally found a home with the @packers. Here's more on… https://t.co/G1Php16TKe,One of the most underrated linebackers in the NFLDraft has finally found a home with the Here s more on,0.3333333333333333
2018 @NFL Draft: Grading Every Pick For The Green Bay @Packers. What grade do the Packers deserve for each of their… https://t.co/rnKH1iNuy4,2018 Draft Grading Every Pick For The Green Bay What grade do the Packers deserve for each of their,-0.2
Green Bay Packers  @packers  Aaron Rodgers https://t.co/lhV11ZQT8n,Green Bay Packers Aaron Rodgers,-0.2
Green Bay Packers undrafted free agent tracker https://t.co/nZtZrZ9uqN https://t.co/NxEeShvOyH,Green Bay Packers undrafted free agent tracker,0.1
Photos of the Week: 4/22/18 - 4/28/18 https://t.co/tQiyzCZDjE https://t.co/drOZwJNyE7,Photos of the Week 4 22 18 4 28 18,0.0
Check out what I just added to my closet on Poshmark: Vintage green bay packers table mat. https://t.co/Lw40CQGWs1… https://t.co/QMGYv2BVyv,Check out what I just added to my closet on Poshmark Vintage green bay packers table mat,-0.2
Photos of the Week: 4/22/18 - 4/28/18 https://t.co/QX8L7EwE8G https://t.co/Jbciba78hE,Photos of the Week 4 22 18 4 28 18,0.0
2018 NFL Draft: Grading Every Pick For The Green Bay Packers https://t.co/xyJjmQgXiS https://t.co/oUh8ElOPN0,2018 NFL Draft Grading Every Pick For The Green Bay Packers,-0.2
"Pick 132: Baltimore Ravens (got from Philadelphia Eagles): Jaleel Scott
Pick 133: Green Bay Packers: J’Mon Moore
Pi… https://t.co/Epmgu6Dw51",Pick 132 Baltimore Ravens got from Philadelphia Eagles Jaleel Scott Pick 133 Green Bay Packers J Mon Moore Pi,-0.2
"Pick 113: Denver Broncos (got from Washington Redskins): DaeSean Hamilton
Pick 114: Detroit Lions (got from Green B… https://t.co/q5ntH4OuH2",Pick 113 Denver Broncos got from Washington Redskins DaeSean Hamilton Pick 114 Detroit Lions got from Green B,-0.2
"#NFLDraft Round results 4:
Pick 101: Carolina Panthers (got from Cleveland Browns and Green Bay Packers): Ian Thoma… https://t.co/wq2F3eqCRs",NFLDraft Round results 4 Pick 101 Carolina Panthers got from Cleveland Browns and Green Bay Packers Ian Thoma,-0.2
Green Bay Packers Tailgaters 1964. #PackersDraft https://t.co/0YesBwHxZE,Green Bay Packers Tailgaters 1964 PackersDraft,-0.2
Check out GREEN BAY PACKERS Officially Licensed Product NFL Yellow Ceramic Coffee Mug  https://t.co/Sz7T5ejkie via @eBay,Check out GREEN BAY PACKERS Officially Licensed Product NFL Yellow Ceramic Coffee Mug via,-0.1
"Yesterday, the Green Bay Packers drafted Equanimeous St. Brown, who I’m pretty sure is just a horse",Yesterday the Green Bay Packers drafted Equanimeous St Brown who I m pretty sure is just a horse,0.18333333333333335
OLD STYLE BEER / 1985 GREEN BAY PACKERS SEXY CHEERLEADERS POSTER MAN CAVE https://t.co/fB95xuGgp2 - EBAY https://t.co/3pjMib2IHs,OLD STYLE BEER 1985 GREEN BAY PACKERS SEXY CHEERLEADERS POSTER MAN CAVE EBAY,0.13333333333333333
"@NeKap Their are a lot of celebrities and sports stars who love anime!! I'm a big Green Bay Packers fan, and one of… https://t.co/UwSns4GyK0",Their are a lot of celebrities and sports stars who love anime I m a big Green Bay Packers fan and one of,0.09999999999999999
"Come back daily for the chance to win prizes for 100 straight days, with the Green Bay Packers 100 Days of Giveaway… https://t.co/o4veZjPCp7",Come back daily for the chance to win prizes for 100 straight days with the Green Bay Packers 100 Days of Giveaway,0.16
2018 NFL Draft: Grading Every Pick For The Green Bay Packers https://t.co/Y515U8O3Ui #Packers #NFLDraft #NFL via @TheInquisitr,2018 NFL Draft Grading Every Pick For The Green Bay Packers Packers NFLDraft NFL via,-0.2
Packers Draft Review: Seeing the Draft Through the Coaches’ ... - https://t.co/lo1aFbOFHG #GoPackGo,Packers Draft Review Seeing the Draft Through the Coaches GoPackGo,0.0
@Joshrando3 welcome to Green Bay the @packers got a great one can't wait for the season.,welcome to Green Bay the got a great one can t wait for the season,0.46666666666666673
"As all this chatter is going on, Rodgers takes one more knee, throws the ball to the official and Joe Buck tells us… https://t.co/wlwN8LCEF8",As all this chatter is going on Rodgers takes one more knee throws the ball to the official and Joe Buck tells us,0.5
"The Good, Bad And Ugly Of The Green Bay Packers' Draft - Forbes https://t.co/RZgYMqcnmu",The Good Bad And Ugly Of The Green Bay Packers Draft Forbes,-0.22499999999999998
"Let's fast forward 9 months from now. It's a colddddd, below freezing night @ Lambeau, the Packers are beating the… https://t.co/3pUnDUaPgI",Let s fast forward 9 months from now It s a colddddd below freezing night Lambeau the Packers are beating the,0.2
#PackersDraft Remix: Relive the best highlights &amp; analysis from a productive three days for the Green Bay Packers a… https://t.co/h8R1wSZTdD,PackersDraft Remix Relive the best highlights amp analysis from a productive three days for the Green Bay Packers a,0.4
Look what I found on Mercari! Green Bay Packers Lo… posted by CoryCranksOutHats https://t.co/Oszo0k7gaR,Look what I found on Mercari Green Bay Packers Lo posted by CoryCranksOutHats,-0.2
@packers @JaireAlexander @Joshrando3 @BangTimeBurks @jmon_moore @MVS__11 @Equanimeous @looneytunes561 @HunterB_53… https://t.co/pWco3tj2D0,moore 11 53,0.0
Packers 2018 Draft Remix - Official Site https://t.co/fjEXUv053A,Packers 2018 Draft Remix Official Site,0.0
One day after the NFL draft and the Detroit Lions are already throwing shade... https://t.co/QnqKXPUv26,One day after the NFL draft and the Detroit Lions are already throwing shade,0.0
"Yet another former EP talent heading to the NFL. Alvin Jones, C/O 2013 El Paso, Texas/Burges HS, brother to Green B… https://t.co/0aPc7tByDD",Yet another former EP talent heading to the NFL Alvin Jones C O 2013 El Paso Texas Burges HS brother to Green B,-0.1
@packers Really surprised that a QB wasn’t picked especially considering what happened to Rodgers last season. What say you Green Bay??,Really surprised that a QB wasn t picked especially considering what happened to Rodgers last season What say you Green Bay,-0.025
.@JaireAlexander throwing out the 1st pitch which will be caught by @BigCaseDawg16 who just so happens to be a Gree… https://t.co/PYXPpjbpQX,throwing out the 1st pitch which will be caught by who just so happens to be a Gree,0.0
So far I think my favorite thing about @JaireAlexander getting added to the packers is how much he cares about his… https://t.co/mhBn2nfSiH,So far I think my favorite thing about getting added to the packers is how much he cares about his,0.26666666666666666
Packers Draft Review: Seeing the Draft Through the Coaches’ and Scou - Yardbarker https://t.co/ORXyUs097o,Packers Draft Review Seeing the Draft Through the Coaches and Scou Yardbarker,0.0
"The Good, Bad And Ugly Of The Green Bay Packers' Draft via @forbes https://t.co/JMkrQDeOZO",The Good Bad And Ugly Of The Green Bay Packers Draft via,-0.22499999999999998
"#Packers reg season prediction thread. 

Week 1 vs Bears. 
Bears have a bright future but we are at Green Bay and w… https://t.co/xdrqcez1Hi",Packers reg season prediction thread Week 1 vs Bears Bears have a bright future but we are at Green Bay and w,0.16666666666666666
Troy Nunes is an Absolute Magician Green Bay Packers sign Syracuse LB Parris Bennett as free agent Troy Nunes is an… https://t.co/qPNNrFArS7,Troy Nunes is an Absolute Magician Green Bay Packers sign Syracuse LB Parris Bennett as free agent Troy Nunes is an,0.13333333333333333
Green Bay Packers Embossed Trifold Genuine Leather Wallet + FREE Gift Tin NFL https://t.co/EIdoFVFcfu,Green Bay Packers Embossed Trifold Genuine Leather Wallet FREE Gift Tin NFL,0.20000000000000004
Congratulations to UA Punter for being drafted to the Green Bay Packers!!! It was awesome praying with him last nig… https://t.co/jvxVaoReXd,Congratulations to UA Punter for being drafted to the Green Bay Packers It was awesome praying with him last nig,0.26666666666666666
"An MSUM football player just signed with the Green Bay Packers, and it warms my little Dragon heart.",An MSUM football player just signed with the Green Bay Packers and it warms my little Dragon heart,-0.19375
"Retweeted Missourian Sports (@CoMoSports):

#ICYMI: @jmon_moore is officially a Cheese Head. The former Missouri WR… https://t.co/NZITz4cbWt",Retweeted Missourian Sports ICYMI moore is officially a Cheese Head The former Missouri WR,0.0
@packers @MVS__11 Green Bay Packers SB LIII Champions,11 Green Bay Packers SB LIII Champions,-0.2
"@Green_Bay @IanKenyonNFL @Equanimeous I think I get what you mean, but also don’t get what you mean.  I’ve seen thi… https://t.co/hgMkFFTGHT",Bay I think I get what you mean but also don t get what you mean I ve seen thi,-0.3125
@BrendanCalvey Announce Green Bay Packers and Celtic F.C. partnership,Announce Green Bay Packers and Celtic F C partnership,-0.2
#ICYMI: @jmon_moore is officially a Cheese Head. The former Missouri WR was drafted by Green Bay in the fourth roun… https://t.co/oMyfTekG7j,ICYMI moore is officially a Cheese Head The former Missouri WR was drafted by Green Bay in the fourth roun,-0.06666666666666667
