Raw Tweets,Clean Tweets,Sentiment
Maybe @CoachP_Akron doesn't know what happened yet to his @Pacers @CoachBri32.... he could still be trying to figur… https://t.co/uneia3Vgft,Maybe Akron doesn t know what happened yet to his he could still be trying to figur,0.0
@WillBrinson @picksixpod @CBSSports @Chip_Patterson @Colts @BigQ56 Way to power through the weekend. Now the hard p… https://t.co/tMktJWosMq,Patterson Way to power through the weekend Now the hard p,-0.2916666666666667
Indianapolis Colts Logo Earphones - https://t.co/isIqbCSyLk https://t.co/B6MunNPxps,Indianapolis Colts Logo Earphones,0.0
Vintage Reebok NFL Indianapolis Colts Windbreaker Jacket - https://t.co/czsLpMaanC https://t.co/tsipgsUWAM,Vintage Reebok NFL Indianapolis Colts Windbreaker Jacket,0.0
Indianapolis Colts Superbowl XLI Champions T Shirt Size XL NWOT - https://t.co/868E2HDoIK https://t.co/RPcQBQeWKS,Indianapolis Colts Superbowl XLI Champions T Shirt Size XL NWOT,0.0
S/o to my bro @JUCOgraphix for the 🔥🔥🔥 @Colts edit. https://t.co/rDodMI7CDl,S o to my bro for the edit,0.0
Tomorrow's @picksixpod was recorded LIVE! from the @CBSSports Raleigh offices with @Chip_Patterson. We talk draft b… https://t.co/GjVroum8VN,Tomorrow s was recorded LIVE from the Raleigh offices with Patterson We talk draft b,0.13636363636363635
@Colts your biggest fan will be here soon! #babyshower #coltsfan #peyton https://t.co/30rlPVQMHg,your biggest fan will be here soon babyshower coltsfan peyton,0.0
@Coach_Moffett @Colts Thanks Michaela!! we’re super excited!✨💞,Moffett Thanks Michaela we re super excited,0.30277777777777776
@NFL @Titans @Colts @Vikings @Patriots @Bengals @49ers @Ravens @Eagles @Saints @packers @Chargers @RAIDERS… https://t.co/FhwHOQEG8Y,,0.0
@waitewhitney @Colts Oh my goodness!!! So so happy for you guys!!❤😭,Oh my goodness So so happy for you guys,0.8
Ayyyyy the @Colts went and signed Skai Moore. 👏🏼👍🏼,Ayyyyy the went and signed Skai Moore,0.0
@TheRickWilson @buffalopundit Almost like when Mike Pence bailed on an Indianapolis Colts game ALLEGEDLY because of… https://t.co/INy32uKzKd,Almost like when Mike Pence bailed on an Indianapolis Colts game ALLEGEDLY because of,-0.25
