Raw Tweets,Clean Tweets,Sentiment
@damonblk @Jaguars You are the man bro!!! 🙏🏽🙏🏽,You are the man bro,0.0
@HomeMalone @Jaguars @MylesJack @DTWDoriginals Breaking : Johnny M to star in the next Avengers movie as himself,Breaking Johnny M to star in the next Avengers movie as himself,0.0
@HomeMalone @DamonBruce @Jaguars @MylesJack @DTWDoriginals just came to see who thought this was real 😂😂😂,just came to see who thought this was real,0.2
"@Dspad @steelers @Jaguars @magspad I'm a fan of the idea. We've been trying to work out when to come down, between… https://t.co/xrbzXEpaHG",I m a fan of the idea We ve been trying to work out when to come down between,-0.15555555555555559
"El estadio de Wembley en negociación de venta.

El dueño del Fulham y el Jacksonville Jaguars, Shahid Khan, planea… https://t.co/xoF3rw9Urk",El estadio de Wembley en negociaci n de venta El due o del Fulham y el Jacksonville Jaguars Shahid Khan planea,-0.125
"SBD Global: @FA made ""secret deal"" to give @Jaguars Owner Shahid Khan a ""preferential option"" to buy Wembley. https://t.co/YazLIjYd3W",SBD Global made secret deal to give Owner Shahid Khan a preferential option to buy Wembley,-0.2
@HomeMalone @Jaguars @MylesJack @DTWDoriginals  https://t.co/KrDpiKCmOg,,0.0
@damonblk @Jaguars Congrats Damon!👍,Congrats Damon,0.0
@HomeMalone @Jaguars @MylesJack @DTWDoriginals Mannnnn this guy really thought you were serious? What a buffoon,Mannnnn this guy really thought you were serious What a buffoon,-0.06666666666666665
@HomeMalone @Jaguars @MylesJack @DTWDoriginals Jortles!,Jortles,0.0
@HomeMalone @Jaguars @MylesJack @DTWDoriginals You don't know how much I love you right now,You don t know how much I love you right now,0.39285714285714285
@HomeMalone @Jaguars @MylesJack @DTWDoriginals Lol this is brilliant,Lol this is brilliant,0.8500000000000001
@HomeMalone @Jaguars @MylesJack @DTWDoriginals @BLuckyLuck,,0.0
@HomeMalone @Jaguars @MylesJack @DTWDoriginals All heroes don’t wear capes!,All heroes don t wear capes,0.0
"@BryceLuce1 @salladham @AdamSchein The Jaguars were the far superior team last year, though, let's be honest. The l… https://t.co/u5UN8C6qaN",The Jaguars were the far superior team last year though let s be honest The l,0.35
@Chairman_kitteh @Schultz_Report @Jaguars Best of luck to your Jags!,kitteh Report Best of luck to your Jags,1.0
@HokiesFB @Uncle_Drew_28 @Jaguars @CoachFuente @coachfostervt @VT_Football Waytogomo!,Drew 28 Football Waytogomo,0.0
@YungFraudGod @chuckst3rs @livinglegend_44 @MeaganHaen18 @HomeMalone @Jaguars @MylesJack @DTWDoriginals I’m just saying in general.,44 I m just saying in general,0.05000000000000002
@AllenLazard @Jaguars Congratulations Allen. Thank you for being a leader and great example as a Cyclone.  I look f… https://t.co/nDmVJQutbe,Congratulations Allen Thank you for being a leader and great example as a Cyclone I look f,0.8
@HomeMalone @Jaguars @MylesJack @DTWDoriginals 😂,,0.0
@HomeMalone @Jaguars @MylesJack @DTWDoriginals @EstimboRicky,,0.0
@theblackgatsby_ @jalenramsey @Jaguars  https://t.co/SetsEu2iIt,,0.0
@HomeMalone @DamonBruce @Jaguars @MylesJack @DTWDoriginals Lol,Lol,0.8
@ericdejax @NFLFilms @Jaguars @jalenramsey @nflnetwork @TeamJuJu @Blafell1 Atleast *,Atleast,0.0
@Jaguars @DJChark82 @nflnetwork Hopefully he's not the next Stephen Hill ...,Hopefully he s not the next Stephen Hill,0.0
@HomeMalone @Jaguars @MylesJack @DTWDoriginals Fake,Fake,-0.5
@HomeMalone @greg_doucette @Jaguars @MylesJack @DTWDoriginals For real? @snopes,doucette For real,0.2
"@ryanohalloran quote from the article:
"" He ended up agreeing to a non-drafted free agent deal with the Jacksonvill… https://t.co/n7WcUOg9Ti",quote from the article He ended up agreeing to a non drafted free agent deal with the Jacksonvill,0.4
@jalenramsey @Jaguars Expect nothing less than top 5....,Expect nothing less than top 5,0.16666666666666669
