Raw Tweets,Clean Tweets,Sentiment
@YaBoiKDawng @RealSlimSharga @RAIDERS Ok good I like the Drake and Josh gif,Ok good I like the Drake and Josh gif,0.6
@BrandonPertile @RAIDERS Looks like I got a NFL plug 🤷🏼‍♂️,Looks like I got a NFL plug,0.0
@YaBoiKDawng @RealSlimSharga @RAIDERS But the next season you went 0-16,But the next season you went 0 16,0.0
@RAIDERS @derekcarrqb Just got done booking our honeymoon to Raiders vs Colts game. I have known him for 9 years an… https://t.co/QC3ds30O9L,Just got done booking our honeymoon to Raiders vs Colts game I have known him for 9 years an,-0.4
"@TempleOwls @JocelynnJoness @RAIDERS Congrats, Nick!! So excited for you!  '][' U 🦉🏈",Congrats Nick So excited for you U,0.375
@YaBoiKDawng @RealSlimSharga @RAIDERS Yeah I agree with that but I guess they wanted Denzel,Yeah I agree with that but I guess they wanted Denzel,0.0
@Loveyourangel_ @ardenkey @RAIDERS Never been a raiders fan but most definitely gotta get his jersey!!! Congratulat… https://t.co/x3XB27fJt0,Never been a raiders fan but most definitely gotta get his jersey Congratulat,0.25
"Ok @RAIDERS fans, here’s a taste of what can expect from @Switz. #SpecialTeamsSunday #ProHeels https://t.co/lfB4N1Fls2",Ok fans here s a taste of what can expect from SpecialTeamsSunday ProHeels,0.5
@YaBoiKDawng @RealSlimSharga @RAIDERS Look up his highlights with us at the end of the run he’s dragging defenders… https://t.co/H3MNuii5oA,Look up his highlights with us at the end of the run he s dragging defenders,0.0
"@RAIDERS really got Hurst and Key, cant wait till we can see what this D-line is capable of, no more game goofy shit https://t.co/v4TRqS92BP",really got Hurst and Key cant wait till we can see what this D line is capable of no more game goofy shit,0.007142857142857141
Charles Woodson signing my 24x36” acrylic painting today in New Jersey. Signed and inscribed in black paint and JSA… https://t.co/JwspdIFKrn,Charles Woodson signing my 24x36 acrylic painting today in New Jersey Signed and inscribed in black paint and JSA,-0.015151515151515152
@RAIDERS killed the late round pics,killed the late round pics,-0.2333333333333333
@jamescash05 @RealSlimSharga @RAIDERS Bakers good but shoulda drafted Barkley then got baker cause I don’t think ba… https://t.co/xMG0egadIU,Bakers good but shoulda drafted Barkley then got baker cause I don t think ba,0.7
@DebbieAtterbury @RAIDERS Thank you!,Thank you,0.0
@RaaShad_TTG @RAIDERS You’re a beast! It’s hard to show that with PSU having so many weapons! You’re going to do gr… https://t.co/vBHEEzhFdr,TTG You re a beast It s hard to show that with PSU having so many weapons You re going to do gr,0.10416666666666666
@jamescash05 @RealSlimSharga @RAIDERS I said you guys were 4-12 in 2007-2008 lol,I said you guys were 4 12 in 2007 2008 lol,0.8
@jamescash05 @RealSlimSharga @RAIDERS He*,He,0.0
"@RAIDERS Great news for the backfield areas, what we need to focus on secondary, we won't win a championship with Reggie Nelson",Great news for the backfield areas what we need to focus on secondary we won t win a championship with Reggie Nelson,0.43333333333333335
@NFL @HoustonTexans @Patriots @MiamiDolphins @Saints @RAIDERS @49ers @Seahawks @Broncos @Browns @RamsNFL @Chargers… https://t.co/oiZHVMOUET,,0.0
"@YaBoiKDawng @RealSlimSharga @RAIDERS Well not many are bust for us
And I think Cleveland finally got it right this… https://t.co/6QxKU0cfne",Well not many are bust for us And I think Cleveland finally got it right this,0.011904761904761899
@AzeemVictor @RAIDERS Heck ya man!!! Time to join the dark side and play with power!!! Welcome to the nation!!!!,Heck ya man Time to join the dark side and play with power Welcome to the nation,0.325
@jamescash05 @RealSlimSharga @RAIDERS You acted like I just said beastmode was bad I just said he isn’t as good as… https://t.co/0WunZVzphC,You acted like I just said beastmode was bad I just said he isn t as good as,5.551115123125783e-17
@jamescash05 @RAIDERS I guess that’s true. I haven’t seen the raiders be good for the past 7 years,I guess that s true I haven t seen the raiders be good for the past 7 years,0.2666666666666666
@TVCoachCrawford @Switz @derekcarrqb @RAIDERS WHAT???? Did i miss something today @Switz a Raider???,WHAT Did i miss something today a Raider,0.0
@jamescash05 @RealSlimSharga @RAIDERS What does it mean to carry defenders?,What does it mean to carry defenders,-0.3125
"Heard CC has a very nice home property, in NJ. Imagine he has a custom barbecue pit, along with indoor 🏀Court,… https://t.co/FlpN0A9hzb",Heard CC has a very nice home property in NJ Imagine he has a custom barbecue pit along with indoor Court,0.78
@AtlantaFalcons  @Jaguars  @Panthers  @titans  @saints @Colts  @RAIDERS  @packers  @DraftDiamonds  @HoustonTexans… https://t.co/VJuO2K8it3,,0.0
@jamescash05 @RealSlimSharga @RAIDERS Obviously not all your picks are bust. That’s not really possible unless you’re Cleveland,Obviously not all your picks are bust That s not really possible unless you re Cleveland,0.0
"Welcome to the Nation Azeem Victor, LB.
He was 1st Team All- Pac-12 in 2016. Is that the player the #Raiders will s… https://t.co/ewo0f1RCuZ",Welcome to the Nation Azeem Victor LB He was 1st Team All Pac 12 in 2016 Is that the player the Raiders will s,0.8
@RAIDERS Our seconday still needs more,Our seconday still needs more,0.5
"@NBCSRaiders @RAIDERS @BairNBCS If he has no ill effects from his heart issue, this will be one of the biggest steals ever in the draft!!",If he has no ill effects from his heart issue this will be one of the biggest steals ever in the draft,0.25
@Carp513 How was the @Bengals draft class? The @RAIDERS are getting poor grades on their's.,How was the draft class The are getting poor grades on their s,-0.4
Six Takeaways From The Oakland Raiders 2018 Draft - https://t.co/QMI3xSbPfz https://t.co/02y5IWVBk3,Six Takeaways From The Oakland Raiders 2018 Draft,0.0
