Raw Tweets,Clean Tweets,Sentiment
"@NickFoles I'm watching the game from dvr... #PhillySpecial... it never gets old. ""Breathtaking call"" says Collings… https://t.co/0LEqeyuKF5",I m watching the game from dvr PhillySpecial it never gets old Breathtaking call says Collings,0.2333333333333333
"@Eagles My son found an old keepsake of mine, any ex-Eagles remember this camp? https://t.co/mncDtojytT",My son found an old keepsake of mine any ex Eagles remember this camp,0.1
@kruse_jamie83 @paulskold @MJGodwin @Browngiraffe @UnofficiallyJoe @shlomo_cohen925 @NFL @Eagles Your right I never watched rugby league.,jamie83 cohen925 Your right I never watched rugby league,0.2857142857142857
@8_bit_soul @barnardthesaint @Double_M215 @viseable @Makets_Man @NFLonFOX @dallascowboys @Eagles Bandwagon? No more… https://t.co/v1joUr77wy,bit soul M215 Man Bandwagon No more,-0.25
@Eagles @DarrenSproles Such a great athlete... and even better a human being. So glad to see this legend come back.,Such a great athlete and even better a human being So glad to see this legend come back,0.3
"Just started watching Season 3 of @allornothingtv featuring the @dallascowboys. Within the first 2 minutes, Dez and… https://t.co/swRgUNMf5T",Just started watching Season 3 of featuring the Within the first 2 minutes Dez and,0.25
Grading the 2018 Eagles Draft Class https://t.co/JV6PT1FLM6 https://t.co/B0hCnSVWCV,Grading the 2018 Eagles Draft Class,0.0
@NFL @Titans @Colts @Vikings @Patriots @Bengals @49ers @Ravens @Eagles @Saints @packers @Chargers @RAIDERS… https://t.co/FhwHOQEG8Y,,0.0
@Eagles @DarrenSproles I'm so happy for my guy..I knew in the back out my mind that the eagles wouldn't let him go… https://t.co/OknEpWntIC,I m so happy for my guy I knew in the back out my mind that the eagles wouldn t let him go,0.4
@TraceWasHere @TeamJuJu @Eagles It’s never going to happen,It s never going to happen,0.0
"@NFL @Eagles Dear Jeebus: please don’t make the @Eagles smart enough to put this guy at Running Back. Sincerely, The Cowboys.",Dear Jeebus please don t make the smart enough to put this guy at Running Back Sincerely The Cowboys,0.17857142857142858
@TeamJuJu It’ll be better with @Eagles gear..,It ll be better with gear,0.5
Some @Eagles fans are sensitive to top draft pick @goedert33’s first name. They’ll quickly forget when the former… https://t.co/OCXXVbKm56,Some fans are sensitive to top draft pick s first name They ll quickly forget when the former,0.23666666666666666
Philadelphia Eagles 2018 Draft Review https://t.co/40c9bAt6q9 https://t.co/KqvB4zfmU0,Philadelphia Eagles 2018 Draft Review,0.0
@phillyguy413 @Eagles The punter almost had em 😂😂😂😂,The punter almost had em,0.0
@Double_M215 @viseable @barnardthesaint @8_bit_soul @Makets_Man @NFLonFOX @dallascowboys @Eagles The point is you c… https://t.co/EXJFWnMpzP,M215 bit soul Man The point is you c,0.0
"From a man named Dallas to a rugby player who has no football experience, here's a recap of all the Philadelphia… https://t.co/oGJvbSMXDq",From a man named Dallas to a rugby player who has no football experience here s a recap of all the Philadelphia,0.0
"@NFL @Eagles Wait.. he doesn’t start in Rugby (hence the #16) but the eagles drafted him? Love it, but questionable.",Wait he doesn t start in Rugby hence the 16 but the eagles drafted him Love it but questionable,0.0
Former NFL lineman coach Dave @OneOLacademy drives in from the main line on Sundays to coach up our big fellas up f… https://t.co/UX8C8mZdXq,Former NFL lineman coach Dave drives in from the main line on Sundays to coach up our big fellas up f,0.05555555555555555
@Raptor2u @cj_wentz @Eagles 🤔,wentz,0.0
April 30 SBD Global: ARL's Carlaw Park heritage Trust close to deal to buy @NZWarriors; @Eagles uses seventh round… https://t.co/Pves27x2bK,April 30 SBD Global ARL s Carlaw Park heritage Trust close to deal to buy uses seventh round,-0.1
Draft grades for the Cowboys NFC East opponents - Blogging The Boys (blog) https://t.co/j4N1oaSFjk https://t.co/HFfs8cQI4Y,Draft grades for the Cowboys NFC East opponents Blogging The Boys blog,0.0
@Jazzzo_Latane @Eagles @David2Akers Not cheering about it; simply pointing out that Dallas hasn’t even gotten that… https://t.co/cKRu5qJjcd,Latane Not cheering about it simply pointing out that Dallas hasn t even gotten that,0.0
@Eagles @DarrenSproles That was a KState highlight film.  They always played a soft schedule,That was a KState highlight film They always played a soft schedule,0.1
@8_bit_soul @Double_M215 @viseable @Makets_Man @Moodfro24 @NFLonFOX @dallascowboys @Eagles I agree there is a lot o… https://t.co/w8NZM8yHN0,bit soul M215 Man I agree there is a lot o,0.0
@cj_wentz @Eagles @DarrenSproles What!! Yay!,wentz What Yay,0.0
@MMcAllister247 @Eagles Good job! Smart kid! 🦅🦅😊,Good job Smart kid,0.45714285714285713
"@barnardthesaint @Double_M215 @viseable @Makets_Man @Moodfro24 @NFLonFOX @dallascowboys @Eagles Yeah, the ratings?… https://t.co/zYYqfns5q4",M215 Man Yeah the ratings,0.0
Grading the 2018 Philadelphia Eagles Draft Class https://t.co/j1Pnwh0Fy7 via @BleedingGreen,Grading the 2018 Philadelphia Eagles Draft Class via,0.0
@Moodfro24 @viseable @barnardthesaint @8_bit_soul @Makets_Man @NFLonFOX @dallascowboys @Eagles And me and you both… https://t.co/8hPDZP6eAA,bit soul Man And me and you both,0.0
Teaching him early #FlyEaglesFly @Eagles https://t.co/AEdczBaYsk,Teaching him early FlyEaglesFly,0.1
"#NFL #ColombiaViveNFL
El próximo 6 de septiembre lanzaremos nuestro podcast, iniciando con la previa de… https://t.co/ItPNvVvfMn",NFL ColombiaViveNFL El pr ximo 6 de septiembre lanzaremos nuestro podcast iniciando con la previa de,0.0
"@Eagles @DarrenSproles So this is to say, what you gave up in Blount, sproles will be able to compensate,,, : https://t.co/lotK3sgcZq",So this is to say what you gave up in Blount sproles will be able to compensate,0.5
@sirxgobrazy @Wallace17_daKid You do know he is with the world champion @Eagles,daKid You do know he is with the world champion,0.0
"I liked a @YouTube video https://t.co/rgPHoRbMd8 PHILADELPHIA EAGLES DRAFT GRADES FOR ALL 7 ROUNDS | Eh, Not The Best",I liked a video PHILADELPHIA EAGLES DRAFT GRADES FOR ALL 7 ROUNDS Eh Not The Best,0.8
@iOrbitStorm @NFL @Eagles 7th round shot in the dark. It’ll be fun to watch either way,7th round shot in the dark It ll be fun to watch either way,-0.016666666666666663
@David2Akers @Eagles Your 10 year old son has a deeper voice then you doesn’t he ?,Your 10 year old son has a deeper voice then you doesn t he,0.1
@wilson_nichols1 @Eagles Howie Roseman: “yawn... getting kinda bored... who’s the scariest human on earth? Draft hi… https://t.co/V4iIlOmREy,nichols1 Howie Roseman yawn getting kinda bored who s the scariest human on earth Draft hi,-0.25
Philadelphia Eagles Selected Former Rugby Player With No Football Experience in 2018 NFL Draft https://t.co/zZyqeiVznC,Philadelphia Eagles Selected Former Rugby Player With No Football Experience in 2018 NFL Draft,0.0
"First, @eagles vs. @patriots for the Super Bowl, now @sixers vs. @celtics in @NBA semi-finals - does this mean a… https://t.co/7JZ2uIDaaV",First vs for the Super Bowl now vs in semi finals does this mean a,0.09027777777777775
@chriscote954 @Eagles  drafting a TE named Dallas ahead of @dallascowboys the day Jason Witten retires. Also the go… https://t.co/jgPGKquFY9,drafting a TE named Dallas ahead of the day Jason Witten retires Also the go,0.0
@AndyOB52 @Eagles @David2Akers That’s embarrassing but only Philly fans would cheer about that,That s embarrassing but only Philly fans would cheer about that,0.0
"@Browngiraffe @UnofficiallyJoe @shlomo_cohen925 @NFL @Eagles Totally agree with you, tackles in Rugby are proper ta… https://t.co/IU0YtqbsCG",cohen925 Totally agree with you tackles in Rugby are proper ta,0.0
@NDFootball @Eagles @autrydenson @CoachBrianKelly @NFL Go Josh!,Go Josh,0.0
@NFL @Eagles Rugby is a much harder game than football! My hubby played so. Do know something about it! Also a lot… https://t.co/XvsNPsaAUp,Rugby is a much harder game than football My hubby played so Do know something about it Also a lot,-0.25
Josh Adams signing with philly?? Ayyy! #FlyEaglesFly @NDFootball @Eagles,Josh Adams signing with philly Ayyy FlyEaglesFly,0.0
Check out PHILADELPHIA EAGLES NFL MEN’S LONG SLEEVE GREEN T-SHIRT LARGE BRAND NEW TAGS  https://t.co/DRhZciKvY4… https://t.co/j1zK2mkjyA,Check out PHILADELPHIA EAGLES NFL MEN S LONG SLEEVE GREEN T SHIRT LARGE BRAND NEW TAGS,0.025162337662337657
@mattbryantbaker @dhood2311 @Flyboy1006 @flemingl17 @FOXSports @Eagles @88DrewPearson Patriots Steelers Vikings Ram… https://t.co/mSoQcsfYCa,Patriots Steelers Vikings Ram,0.0
@iancmclaren I don't know what's worse. @Eagles  fans literally eating shit or this. I'd say it's a waste of beer but Bud Light isn't beer.,I don t know what s worse fans literally eating shit or this I d say it s a waste of beer but Bud Light isn t beer,-0.1
@street_brice @DDurante7 @Dillroast @mortreport @goedert33 Eagles fans are the most insecure childish fanbase. They… https://t.co/0x48Pii1M8,brice Eagles fans are the most insecure childish fanbase They,-0.06666666666666667
Eagles agree on deal to re-sign RB Darren Sproles (ESPN) https://t.co/99I8pENyCV,Eagles agree on deal to re sign RB Darren Sproles ESPN,0.0
@NFL @Eagles Why would Jordan want to digress to wear a Helmet?  😂,Why would Jordan want to digress to wear a Helmet,0.0
@Double_M215 @viseable @8_bit_soul @Makets_Man @Moodfro24 @NFLonFOX @dallascowboys @Eagles And y’all always say the… https://t.co/BXpXcvZeHN,M215 bit soul Man And y all always say the,0.0
@TomHunsberger1 @SWHTown30 That's what happened in the NFL this year the Philadelphia Eagles were the best team pre… https://t.co/Un7kYZFm3W,That s what happened in the NFL this year the Philadelphia Eagles were the best team pre,1.0
@Eagles Bird gang let's go,Bird gang let s go,0.0
@Double_M215 @viseable @8_bit_soul @Makets_Man @Moodfro24 @NFLonFOX @dallascowboys @Eagles All the playoff games y’… https://t.co/RTNr6N30uN,M215 bit soul Man All the playoff games y,0.0
"@NFL @Eagles Hey @nfl, no whining down under about any hits! Let em play!!",Hey no whining down under about any hits Let em play,-0.15555555555555559
QB Nick Foles Philadelphia Eagles https://t.co/wMFeAD6Xwo,QB Nick Foles Philadelphia Eagles,0.0
Philadelphia Eagles Selected Former Rugby Player With No Football Experience in 2018 NFL Draft… https://t.co/ax6CeJa2Xj,Philadelphia Eagles Selected Former Rugby Player With No Football Experience in 2018 NFL Draft,0.0
Philadelphia Eagles Selected Former Rugby Player With No Football Experience in 2018 NFL Draft… https://t.co/Ue4CFFdBrX,Philadelphia Eagles Selected Former Rugby Player With No Football Experience in 2018 NFL Draft,0.0
@Sperlmutter53 @Eagles Shut up you guys got saquan😭,Shut up you guys got saquan,0.0
@Double_M215 @viseable @barnardthesaint @8_bit_soul @Makets_Man @NFLonFOX @dallascowboys @Eagles The question was a… https://t.co/m8LxahgxCQ,M215 bit soul Man The question was a,0.0
