Raw Tweets,Clean Tweets,Sentiment
.@Seahawks head coach @PeteCarroll is full of wonder for the wizardry Michael Dickson can perform with his boot on… https://t.co/DfWjDmH6rY,head coach is full of wonder for the wizardry Michael Dickson can perform with his boot on,0.35
"MTSU ALUM: Marcus Udell..Marcus played at Co-Lin JC..He was 1st Team All Conference, leading the nation in INTS(7).… https://t.co/LBkO5A8scz",MTSU ALUM Marcus Udell Marcus played at Co Lin JC He was 1st Team All Conference leading the nation in INTS 7,0.0
@friscojosh cc: @Seahawks,cc,0.0
@Teresa4ever12 @Shaquemgriffin same here!!! finally something to look forward to again!! this is the exact spark we… https://t.co/ZAGsSRh4in,same here finally something to look forward to again this is the exact spark we,0.08333333333333333
@kplarue @Crawford_A @mwruester @Seahawks  https://t.co/4OcnDGHhmM,A,0.0
"@Shaquemgriffin Can’t  wait to see you out on the field as a @Seahawks.  Everything you need is inside you, as it always been.  ❤️",Can t wait to see you out on the field as a Everything you need is inside you as it always been,0.0
@Crawford_A @chetcastille @mwruester @Seahawks  https://t.co/wAiv3u1bvc,A,0.0
@hunterbailey52 @TxEliteAthletes @cowboy_mccoy @losmartinez33 this is what hard work and determination looks like.… https://t.co/GfvG8Srpxl,mccoy this is what hard work and determination looks like,-0.2916666666666667
@gradsax @LoganTuckerDay2 @Seahawks Fuck both of you pussies,Fuck both of you pussies,-0.4
@SidneyJonesIV @Shaquemgriffin @ShaquillG Why @Shaquemgriffin is the feel good story of the draft... and why the to… https://t.co/DB8fMCdp1N,Why is the feel good story of the draft and why the to,0.7
"An inspirational story of twin brothers going to the NFL.

Check out this article from USA TODAY:

One-handed NFL p… https://t.co/4VwOD6j27i",An inspirational story of twin brothers going to the NFL Check out this article from USA TODAY One handed NFL p,0.5
"Awesome moment: The @Seahawks make the call to Tre Flowers to inform him they are drafting him. 😎
https://t.co/WQAxJJcmiJ",Awesome moment The make the call to Tre Flowers to inform him they are drafting him,1.0
@chetcastille @kplarue @mwruester @Seahawks Lets be real @chetcastille isn’t down to spend that cash,Lets be real isn t down to spend that cash,0.022222222222222213
Use this as motivation @Seahawks @PeteCarroll @seahawksPR https://t.co/WGJ6D6fD4r,Use this as motivation,0.0
Analysis: Top five Seahawks most affected by the 2018 NFL Draft | The Seattle Times @misstoriblack  https://t.co/bBDYHmLnuU,Analysis Top five Seahawks most affected by the 2018 NFL Draft The Seattle Times,0.5
Shaquem Griffin Gets Selected by the Seattle #Seahawks | 2018 #NFL Draft https://t.co/LgaqgmjOS3 https://t.co/7eGe1Hg9KH,Shaquem Griffin Gets Selected by the Seattle Seahawks 2018 NFL Draft,0.0
