Raw Tweets,Clean Tweets,Sentiment
"Great conversation with a lot of great #Bucs people.

.@ThePewterPlank 
.@ThePewterCast 
.@superhvyweight 
.… https://t.co/TCGCeuvzuT",Great conversation with a lot of great Bucs people,0.8
Tampa Bay #Buccaneers 2018 #NFLDraft Grade - B #NFL #Bucs https://t.co/aQQ8RurTN6,Tampa Bay Buccaneers 2018 NFLDraft Grade B NFL Bucs,0.0
Tampa Bay #Buccaneers 2018 #NFLDraft Grade - B #NFL #Bucs: https://t.co/TgcagkNFLg via @YouTube,Tampa Bay Buccaneers 2018 NFLDraft Grade B NFL Bucs via,0.0
Bucs Draft Analysis And Draft Grades: RB Jones - Yardbarker https://t.co/MtCnMDMifr,Bucs Draft Analysis And Draft Grades RB Jones Yardbarker,0.0
"Tampa Bay #Buccaneers 2018 schedule release: Games, dates and times via @FanSided #NFL
https://t.co/DRsycnQDap",Tampa Bay Buccaneers 2018 schedule release Games dates and times via NFL,0.0
Top tampa bay buccaneers articles from last 48 hrs https://t.co/Y4lozWlwMU,Top tampa bay buccaneers articles from last 48 hrs,0.25
The 2018 NFL Draft Grades Are In: Buccaneers get high scores - Yardbarker https://t.co/ODxxDyPObS,The 2018 NFL Draft Grades Are In Buccaneers get high scores Yardbarker,0.16
"Instant first-round grade: #Buccaneers select DT Vita Vea via @FanSided 2018 #NFLDraft
https://t.co/ov0o0DZMzp",Instant first round grade Buccaneers select DT Vita Vea via 2018 NFLDraft,0.016666666666666663
Welcome to Tampa Bay @Buccaneers @NFL. #itsabucslifeforme @espn https://t.co/CGHspM1NsH,Welcome to Tampa Bay itsabucslifeforme,0.8
"@bernduck @bijancbayne NE Patriots, Golden State Warriors, Carolina Hurricanes and Panthers, Tampa Bay Buccaneers,… https://t.co/4KfEQjgzHA",NE Patriots Golden State Warriors Carolina Hurricanes and Panthers Tampa Bay Buccaneers,0.3
Tough read https://t.co/8aarqGfXze,Tough read,-0.3888888888888889
"As a Tampa Bay native, it was really cool to meet @Buccaneers legend @DBrooks55 and future legend Brent Grimes this… https://t.co/2QwHGZZ3DK",As a Tampa Bay native it was really cool to meet legend and future legend Brent Grimes this,0.175
"Fort Collins ▶️▶️▶️ @Buccaneers

@JDBennett78 has been invited to rookie minicamp with Tampa Bay!

#NextLevelRams https://t.co/rk7E6C9OED",Fort Collins has been invited to rookie minicamp with Tampa Bay NextLevelRams,0.0
Congratulations to @LOLGatorsFB &amp; Samford LB Shaheed Salmon for signing with the Tampa Bay Buccaneers. Once a gator… https://t.co/uv132T9mBW,Congratulations to amp Samford LB Shaheed Salmon for signing with the Tampa Bay Buccaneers Once a gator,0.0
Bucs Draft Analysis And Draft Grades: DT Vea - Yardbarker https://t.co/Zjhk6MV7lx,Bucs Draft Analysis And Draft Grades DT Vea Yardbarker,0.0
"Thank you to all of my followers, new and old, and welcome to the PFF Buccaneers page. Here you will find everythin… https://t.co/tBKQuhenri",Thank you to all of my followers new and old and welcome to the PFF Buccaneers page Here you will find everythin,0.34545454545454546
"@jabuc @TampaBayTre @PewterReport Look at these grades, smh

https://t.co/U6KIDgVAmG

#Bucs",Look at these grades smh Bucs,0.0
