Raw Tweets,Clean Tweets,Sentiment
@NFL @Titans @packers @Chargers @greggrosenthal What about Cleveland?,What about Cleveland,0.0
@NFL @Titans @packers @Chargers @greggrosenthal Titans still suck,Titans still suck,0.0
@gullett_james @RobertBuonomo @NFL @Titans @packers @Chargers @greggrosenthal And fantasy football,james And fantasy football,0.0
@RagnarSkolson @ColtsHype @Petty__LBJ @NFL @Titans @packers @Chargers @greggrosenthal A respectable vikings fan i c… https://t.co/uUwbv46iYV,LBJ A respectable vikings fan i c,0.5
@NFL @Titans @packers @Chargers @greggrosenthal @cherem22,,0.0
@RagnarSkolson @NFL @Titans @packers @Chargers @greggrosenthal Kevin King was the next Patrick Peterson according to reports,Kevin King was the next Patrick Peterson according to reports,0.0
"@NFL @Titans @packers @Chargers @greggrosenthal It's not the players, it's who is coaching them that will make the difference.",It s not the players it s who is coaching them that will make the difference,0.0
@natebain @Titans Yep...,Yep,0.0
"4. Harold Landry to #Titans 

Landry was in play at 22 for Tennessee and they got him at 41. An ideal 3-4 OLB, Land… https://t.co/0kptIeUItA",4 Harold Landry to Titans Landry was in play at 22 for Tennessee and they got him at 41 An ideal 3 4 OLB Land,0.9
I’m so proud. @Titans @PredsNHL    #StandWithUs #preds https://t.co/fBYOmzrTpC,I m so proud StandWithUs preds,0.8
@PackersJohn @ColtsHype @Petty__LBJ @NFL @Titans @packers @Chargers @greggrosenthal Rodgers was 2/4 passing for 18… https://t.co/pp255DUtVp,LBJ Rodgers was 2 4 passing for 18,0.0
@PackersJohn @ColtsHype @Petty__LBJ @NFL @Titans @packers @Chargers @greggrosenthal Youre right about that,LBJ Youre right about that,0.2857142857142857
@jbillinson This is the @nfl new public service announcement to combat stereotypes that #nfl players are a bunch of… https://t.co/xYM6BJplqe,This is the new public service announcement to combat stereotypes that nfl players are a bunch of,0.06818181818181818
@SNFonNBC @Titans The fact that these millionaires can have a bunch of beer and go to a hockey game for fun makes me happy,The fact that these millionaires can have a bunch of beer and go to a hockey game for fun makes me happy,0.2333333333333333
Great draft @Titans #TitanUp,Great draft TitanUp,0.8
They know... #TitanUp @Titans https://t.co/DoDJnaVEzY,They know TitanUp,0.0
@TomAWillis @Titans @bigjimmurray,,0.0
@JayWedel @Titans Thanks,Thanks,0.2
