Raw Tweets,Clean Tweets,Sentiment
@Danfern420 @jsd22663 @Redskins @packers That is the worst comparison ever. 🤦🏼‍♂️,That is the worst comparison ever,-1.0
@VTHokie_Nation @BowerTrenton That 5 star signed with the Washington Redskins somewhere he wanted to go. Go to UVA… https://t.co/KxKTVp36tM,Nation That 5 star signed with the Washington Redskins somewhere he wanted to go Go to UVA,0.0
"@CoachKirschner @RealJeremyBonin @D_johnson10 @Redskins I watched his draft day story, what an amazing young man &amp;… https://t.co/wYoWkIIbAu",johnson10 I watched his draft day story what an amazing young man amp,0.35000000000000003
@NFL @Titans @Colts @Vikings @Patriots @Bengals @49ers @Ravens @Eagles @Saints @packers @Chargers @RAIDERS… https://t.co/FhwHOQEG8Y,,0.0
@Kierkegaard30 @CauseWereGuys @dallascowboys @Redskins Dez is gone lol,Dez is gone lol,0.8
@rommatide @CauseWereGuys @dallascowboys @Redskins Alex smith time,Alex smith time,0.0
@DhaSickest @Redskins Great Redskins Running Backs Bring Positive Personality.  #Winnerswin.  #Guicegreatness https://t.co/wactg6r0It,Great Redskins Running Backs Bring Positive Personality Winnerswin Guicegreatness,0.5136363636363637
"Grades for NFC East teams:
Midgets D-, Cowgirls C-, Beagles C+ and @Redskins : B+ (the best) @SkinsRealm… https://t.co/qm38omsw4b",Grades for NFC East teams Midgets D Cowgirls C Beagles C and B the best,1.0
@CauseWereGuys @Kierkegaard30 me when @dallascowboys beat @Redskins every year lol,me when beat every year lol,0.8
"Factory Direct Pricing 15%OFF Coupon Code ""Factory15"" Free Shipping Washington Redskins NFL Snapback Hats - Price:… https://t.co/edTgzvIxxw",Factory Direct Pricing 15 OFF Coupon Code Factory15 Free Shipping Washington Redskins NFL Snapback Hats Price,0.25
@WWERomanReigns @Redskins @TitusONeilWWE Roman you hit the ground first then brock at the greatest  royal rumble,Roman you hit the ground first then brock at the greatest royal rumble,0.625
@dcfoodsafety @augustpearl83 @Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw… https://t.co/XqiQLt4CnW,,0.0
@nhardrath @Redskins @packers Is that #1 pick going to suite up for you this year?  Didn’t think so. #HTTR!,Is that 1 pick going to suite up for you this year Didn t think so HTTR,0.0
Washington Redskins add over a dozen 2018 undrafted free agents https://t.co/QgeEyah4Ca https://t.co/rOQcHAOGmk,Washington Redskins add over a dozen 2018 undrafted free agents,0.4
@dcfoodsafety @Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw @gaviotita71… https://t.co/0Xlo4B3VKj,,0.0
https://t.co/OCtnpBZCLI,,0.0
@nhardrath @jsd22663 @Redskins @packers Josh Jackson is Quentin Rollins 2.0,Josh Jackson is Quentin Rollins 2 0,0.0
@augustpearl83 @ahardy316 @Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw… https://t.co/D4aS7AfVo0,,0.0
@augustpearl83 @ahardy316 @Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw… https://t.co/jHZQPru0HC,,0.0
@nhardrath @Redskins @packers Oh right you got a short fast CB who can’t stay healthy and then you took another slo… https://t.co/0fExp1ZbXA,Oh right you got a short fast CB who can t stay healthy and then you took another slo,0.24642857142857144
https://t.co/h5P7LMn9oH,,0.0
@jford107 @Redskins Where’d you hear this?,Where d you hear this,0.0
@Redskins #HTTR,HTTR,0.0
@ahardy316 @Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw @gaviotita71… https://t.co/IPkbYeZuI3,,0.0
@dcfoodsafety @ahardy316 @Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw @gaviotita71… https://t.co/O2R4mNaq4o,,0.0
@dcfoodsafety @Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw @gaviotita71… https://t.co/gMPY3lyZ5z,,0.0
@jsd22663 @Redskins @packers Yeah and that’s false the Packers had a better first two picks and one of which result… https://t.co/YKSFhzlbJb,Yeah and that s false the Packers had a better first two picks and one of which result,0.11666666666666664
@Redskins what’s this I’m hearing about is talking to Dez Bryant’s agent.. any validity to this? Or just rumors?,what s this I m hearing about is talking to Dez Bryant s agent any validity to this Or just rumors,0.0
"Take a look at your new and improved Washington redskins defensive line .... #redskins 

Full video :… https://t.co/14RJDaWbGJ",Take a look at your new and improved Washington redskins defensive line redskins Full video,0.24318181818181817
@ahardy316 @Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw @gaviotita71… https://t.co/1Y4kcgL8gJ,,0.0
@WRC_Candess @1stLadiesOfFB @Redskins Tasty,Candess Tasty,0.0
@jsd22663 @Redskins @packers There’s a reason he fell on top the the baggage that comes with him. The fact that you… https://t.co/aY9zjZbf92,There s a reason he fell on top the the baggage that comes with him The fact that you,0.5
@Ninky4 @SkinsFlwTrain @Chuckie406402 @bowchk @dgm0039 @Chrispack76 @beveelaw @gaviotita71 @TheMountain_WIC… https://t.co/XvoCT8Wrsc,WIC,0.0
@nhardrath @Redskins @packers And the post said no one had a better first two picks. We’re not talking about your #1 pick next year,And the post said no one had a better first two picks We re not talking about your 1 pick next year,0.25
#Redskins now have motivated running back in Derrius Guice: https://t.co/uaBbxiZ1ku https://t.co/wsu0vwu09r,Redskins now have motivated running back in Derrius Guice,0.0
@nhardrath @Redskins @packers Oh  u have spoken so that makes it true?? Lol...I don’t think so. I guess the rest of… https://t.co/tedl3LYAl7,Oh u have spoken so that makes it true Lol I don t think so I guess the rest of,0.575
